materialid,radius,elneg,vdw,polar
mp-780594,2.0,0.02731,0.017652,0.040867
mp-780594,2.25,0.05708,0.022148,0.061982
mp-780594,2.5,0.06271,0.024242,0.05296
mp-780594,2.75,0.064995,0.068546,0.055988
mp-780594,3.0,0.108893,0.147187,0.093617
mp-780594,3.25,0.133764,0.148029,0.128338
mp-780594,3.5,0.131123,0.116107,0.144826
mp-780594,3.75,0.125561,0.156715,0.15018
mp-780594,4.0,0.138815,0.149281,0.155346
mp-780594,4.25,0.173373,0.117455,0.17742
mp-780594,4.5,0.20742,0.189892,0.209736
mp-780594,4.75,0.256015,0.255796,0.247025
mp-780594,5.0,0.279463,0.229605,0.254157
mp-780594,5.25,0.265557,0.236175,0.237789
mp-780594,5.5,0.242008,0.280525,0.231655
mp-780594,5.75,0.196921,0.268254,0.204565
mp-780594,6.0,0.16197,0.197707,0.177467
mp-780594,6.25,0.158484,0.136058,0.177231
mp-780594,6.5,0.184061,0.118878,0.19948
mp-780594,6.75,0.197884,0.139116,0.20243
mp-780594,7.0,0.191861,0.179357,0.18698
mp-780594,7.25,0.169276,0.163544,0.154426
mp-780594,7.5,0.138079,0.171802,0.125344
mp-780594,7.75,0.109317,0.183351,0.109171
mp-780594,8.0,0.089156,0.121014,0.095202
mp-780594,8.25,0.060805,0.041914,0.062879
mp-780594,8.5,0.026044,0.013611,0.025771
mp-780594,8.75,0.013922,0.031372,0.013867
mp-780594,9.0,0.016157,0.047897,0.014266
mp-780594,9.25,0.009803,0.023191,0.007539
mp-780594,9.5,0.002038,0.003426,0.001407
mp-780594,9.75,0.000133,0.000152,8.5e-05
mp-780594,10.0,3e-06,2e-06,2e-06
mp-780594,10.25,0.0,0.0,0.0
mp-780594,10.5,0.0,0.0,0.0
mp-780594,10.75,0.0,0.0,0.0
mp-780594,11.0,0.0,0.0,0.0
mp-780594,11.25,0.0,0.0,0.0
mp-780594,11.5,0.0,0.0,0.0
mp-780594,11.75,0.0,0.0,0.0
mp-780594,12.0,0.0,0.0,0.0
mp-780594,12.25,0.0,0.0,0.0
mp-780594,12.5,0.0,0.0,0.0
mp-780594,12.75,0.0,0.0,0.0
mp-780594,13.0,0.0,0.0,0.0
mp-780594,13.25,0.0,0.0,0.0
mp-780594,13.5,0.0,0.0,0.0
mp-780594,13.75,0.0,0.0,0.0
mp-780594,14.0,0.0,0.0,0.0
mp-780594,14.25,0.0,0.0,0.0
mp-780594,14.5,0.0,0.0,0.0
mp-780594,14.75,0.0,0.0,0.0
mp-780594,15.0,0.0,0.0,0.0
