materialid,radius,elneg,vdw,polar
mp-768041,2.0,0.10906,0.059448,0.164123
mp-768041,2.25,0.227142,0.097912,0.274852
mp-768041,2.5,0.282807,0.109669,0.244045
mp-768041,2.75,0.243202,0.168903,0.192084
mp-768041,3.0,0.300031,0.349267,0.23649
mp-768041,3.25,0.392008,0.685867,0.37147
mp-768041,3.5,0.355839,0.687345,0.42661
mp-768041,3.75,0.267931,0.308642,0.319081
mp-768041,4.0,0.201142,0.108439,0.207246
mp-768041,4.25,0.202665,0.110647,0.215294
mp-768041,4.5,0.202221,0.153899,0.24478
mp-768041,4.75,0.22126,0.107212,0.230054
mp-768041,5.0,0.322177,0.073317,0.264244
mp-768041,5.25,0.305945,0.126086,0.263431
mp-768041,5.5,0.181451,0.223544,0.172434
mp-768041,5.75,0.113988,0.199284,0.094941
mp-768041,6.0,0.054271,0.079043,0.042436
mp-768041,6.25,0.013438,0.09812,0.016883
mp-768041,6.5,0.00259,0.160559,0.012715
mp-768041,6.75,0.000728,0.080679,0.005905
mp-768041,7.0,9.9e-05,0.011633,0.000846
mp-768041,7.25,4e-06,0.000481,3.5e-05
mp-768041,7.5,0.0,6e-06,0.0
mp-768041,7.75,0.0,0.0,0.0
mp-768041,8.0,0.0,0.0,0.0
mp-768041,8.25,0.0,0.0,0.0
mp-768041,8.5,0.0,0.0,0.0
mp-768041,8.75,0.0,0.0,0.0
mp-768041,9.0,0.0,0.0,0.0
mp-768041,9.25,0.0,0.0,0.0
mp-768041,9.5,0.0,0.0,0.0
mp-768041,9.75,0.0,0.0,0.0
mp-768041,10.0,0.0,0.0,0.0
mp-768041,10.25,0.0,0.0,0.0
mp-768041,10.5,0.0,0.0,0.0
mp-768041,10.75,0.0,0.0,0.0
mp-768041,11.0,0.0,0.0,0.0
mp-768041,11.25,0.0,0.0,0.0
mp-768041,11.5,0.0,0.0,0.0
mp-768041,11.75,0.0,0.0,0.0
mp-768041,12.0,0.0,0.0,0.0
mp-768041,12.25,0.0,0.0,0.0
mp-768041,12.5,0.0,0.0,0.0
mp-768041,12.75,0.0,0.0,0.0
mp-768041,13.0,0.0,0.0,0.0
mp-768041,13.25,0.0,0.0,0.0
mp-768041,13.5,0.0,0.0,0.0
mp-768041,13.75,0.0,0.0,0.0
mp-768041,14.0,0.0,0.0,0.0
mp-768041,14.25,0.0,0.0,0.0
mp-768041,14.5,0.0,0.0,0.0
mp-768041,14.75,0.0,0.0,0.0
mp-768041,15.0,0.0,0.0,0.0
