materialid,radius,elneg,vdw,polar
mp-753275,2.0,0.333605,0.121504,0.471913
mp-753275,2.25,0.386203,0.134074,0.480208
mp-753275,2.5,0.518972,0.223563,0.36915
mp-753275,2.75,0.711862,0.826246,0.569314
mp-753275,3.0,0.45393,1.065317,0.539997
mp-753275,3.25,0.214397,0.421995,0.295482
mp-753275,3.5,0.286523,0.097891,0.309777
mp-753275,3.75,0.29665,0.084239,0.276522
mp-753275,4.0,0.156997,0.170454,0.158635
mp-753275,4.25,0.056236,0.195647,0.093444
mp-753275,4.5,0.076479,0.088905,0.061736
mp-753275,4.75,0.220015,0.1345,0.131684
mp-753275,5.0,0.215651,0.258302,0.162873
mp-753275,5.25,0.065788,0.15084,0.069198
mp-753275,5.5,0.006478,0.025292,0.009642
mp-753275,5.75,0.000212,0.001216,0.000421
mp-753275,6.0,2e-06,1.7e-05,6e-06
mp-753275,6.25,0.0,0.0,0.0
mp-753275,6.5,0.0,0.0,0.0
mp-753275,6.75,0.0,0.0,0.0
mp-753275,7.0,0.0,0.0,0.0
mp-753275,7.25,0.0,0.0,0.0
mp-753275,7.5,0.0,0.0,0.0
mp-753275,7.75,0.0,0.0,0.0
mp-753275,8.0,0.0,0.0,0.0
mp-753275,8.25,0.0,0.0,0.0
mp-753275,8.5,0.0,0.0,0.0
mp-753275,8.75,0.0,0.0,0.0
mp-753275,9.0,0.0,0.0,0.0
mp-753275,9.25,0.0,0.0,0.0
mp-753275,9.5,0.0,0.0,0.0
mp-753275,9.75,0.0,0.0,0.0
mp-753275,10.0,0.0,0.0,0.0
mp-753275,10.25,0.0,0.0,0.0
mp-753275,10.5,0.0,0.0,0.0
mp-753275,10.75,0.0,0.0,0.0
mp-753275,11.0,0.0,0.0,0.0
mp-753275,11.25,0.0,0.0,0.0
mp-753275,11.5,0.0,0.0,0.0
mp-753275,11.75,0.0,0.0,0.0
mp-753275,12.0,0.0,0.0,0.0
mp-753275,12.25,0.0,0.0,0.0
mp-753275,12.5,0.0,0.0,0.0
mp-753275,12.75,0.0,0.0,0.0
mp-753275,13.0,0.0,0.0,0.0
mp-753275,13.25,0.0,0.0,0.0
mp-753275,13.5,0.0,0.0,0.0
mp-753275,13.75,0.0,0.0,0.0
mp-753275,14.0,0.0,0.0,0.0
mp-753275,14.25,0.0,0.0,0.0
mp-753275,14.5,0.0,0.0,0.0
mp-753275,14.75,0.0,0.0,0.0
mp-753275,15.0,0.0,0.0,0.0
