materialid,radius,elneg,vdw,polar
mp-753127,2.0,0.18338,0.053009,0.176688
mp-753127,2.25,0.233281,0.173609,0.275709
mp-753127,2.5,0.185868,0.304824,0.312618
mp-753127,2.75,0.166627,0.400481,0.328349
mp-753127,3.0,0.296073,0.525321,0.391113
mp-753127,3.25,0.52102,0.52183,0.429002
mp-753127,3.5,0.599581,0.331658,0.362344
mp-753127,3.75,0.555343,0.194651,0.327768
mp-753127,4.0,0.415347,0.288022,0.335539
mp-753127,4.25,0.224042,0.411864,0.273347
mp-753127,4.5,0.114027,0.341319,0.18078
mp-753127,4.75,0.08464,0.157569,0.124016
mp-753127,5.0,0.099682,0.08456,0.120584
mp-753127,5.25,0.106606,0.06932,0.125941
mp-753127,5.5,0.067394,0.063094,0.084695
mp-753127,5.75,0.040952,0.049206,0.046024
mp-753127,6.0,0.04059,0.017228,0.029337
mp-753127,6.25,0.026247,0.003976,0.02019
mp-753127,6.5,0.020557,0.004181,0.027748
mp-753127,6.75,0.014802,0.003373,0.022241
mp-753127,7.0,0.003667,0.000842,0.005549
mp-753127,7.25,0.00027,6.2e-05,0.000408
mp-753127,7.5,6e-06,1e-06,9e-06
mp-753127,7.75,0.0,0.0,0.0
mp-753127,8.0,0.0,0.0,0.0
mp-753127,8.25,0.0,0.0,0.0
mp-753127,8.5,0.0,0.0,0.0
mp-753127,8.75,0.0,0.0,0.0
mp-753127,9.0,0.0,0.0,0.0
mp-753127,9.25,0.0,0.0,0.0
mp-753127,9.5,0.0,0.0,0.0
mp-753127,9.75,0.0,0.0,0.0
mp-753127,10.0,0.0,0.0,0.0
mp-753127,10.25,0.0,0.0,0.0
mp-753127,10.5,0.0,0.0,0.0
mp-753127,10.75,0.0,0.0,0.0
mp-753127,11.0,0.0,0.0,0.0
mp-753127,11.25,0.0,0.0,0.0
mp-753127,11.5,0.0,0.0,0.0
mp-753127,11.75,0.0,0.0,0.0
mp-753127,12.0,0.0,0.0,0.0
mp-753127,12.25,0.0,0.0,0.0
mp-753127,12.5,0.0,0.0,0.0
mp-753127,12.75,0.0,0.0,0.0
mp-753127,13.0,0.0,0.0,0.0
mp-753127,13.25,0.0,0.0,0.0
mp-753127,13.5,0.0,0.0,0.0
mp-753127,13.75,0.0,0.0,0.0
mp-753127,14.0,0.0,0.0,0.0
mp-753127,14.25,0.0,0.0,0.0
mp-753127,14.5,0.0,0.0,0.0
mp-753127,14.75,0.0,0.0,0.0
mp-753127,15.0,0.0,0.0,0.0
