materialid,radius,elneg,vdw,polar
mp-766810,2.0,0.169997,0.128939,0.259746
mp-766810,2.25,0.373576,0.173523,0.394303
mp-766810,2.5,0.689772,0.33889,0.512135
mp-766810,2.75,0.805793,1.083007,0.714138
mp-766810,3.0,0.61635,1.353091,0.672394
mp-766810,3.25,0.420583,0.604216,0.423538
mp-766810,3.5,0.345175,0.162013,0.335805
mp-766810,3.75,0.28759,0.078442,0.32391
mp-766810,4.0,0.196685,0.052358,0.244183
mp-766810,4.25,0.080227,0.021645,0.101719
mp-766810,4.5,0.013486,0.003666,0.017154
mp-766810,4.75,0.000753,0.000207,0.000959
mp-766810,5.0,1.3e-05,4e-06,1.6e-05
mp-766810,5.25,0.0,0.0,0.0
mp-766810,5.5,0.0,0.0,0.0
mp-766810,5.75,0.0,0.0,0.0
mp-766810,6.0,0.0,0.0,0.0
mp-766810,6.25,0.0,0.0,0.0
mp-766810,6.5,0.0,0.0,0.0
mp-766810,6.75,0.0,0.0,0.0
mp-766810,7.0,0.0,0.0,0.0
mp-766810,7.25,0.0,0.0,0.0
mp-766810,7.5,0.0,0.0,0.0
mp-766810,7.75,0.0,0.0,0.0
mp-766810,8.0,0.0,0.0,0.0
mp-766810,8.25,0.0,0.0,0.0
mp-766810,8.5,0.0,0.0,0.0
mp-766810,8.75,0.0,0.0,0.0
mp-766810,9.0,0.0,0.0,0.0
mp-766810,9.25,0.0,0.0,0.0
mp-766810,9.5,0.0,0.0,0.0
mp-766810,9.75,0.0,0.0,0.0
mp-766810,10.0,0.0,0.0,0.0
mp-766810,10.25,0.0,0.0,0.0
mp-766810,10.5,0.0,0.0,0.0
mp-766810,10.75,0.0,0.0,0.0
mp-766810,11.0,0.0,0.0,0.0
mp-766810,11.25,0.0,0.0,0.0
mp-766810,11.5,0.0,0.0,0.0
mp-766810,11.75,0.0,0.0,0.0
mp-766810,12.0,0.0,0.0,0.0
mp-766810,12.25,0.0,0.0,0.0
mp-766810,12.5,0.0,0.0,0.0
mp-766810,12.75,0.0,0.0,0.0
mp-766810,13.0,0.0,0.0,0.0
mp-766810,13.25,0.0,0.0,0.0
mp-766810,13.5,0.0,0.0,0.0
mp-766810,13.75,0.0,0.0,0.0
mp-766810,14.0,0.0,0.0,0.0
mp-766810,14.25,0.0,0.0,0.0
mp-766810,14.5,0.0,0.0,0.0
mp-766810,14.75,0.0,0.0,0.0
mp-766810,15.0,0.0,0.0,0.0
