materialid,radius,elneg,vdw,polar
mvc-3279,2.0,0.013903,0.001865,0.01022
mvc-3279,2.25,0.125371,0.021137,0.094669
mvc-3279,2.5,0.38148,0.079242,0.295051
mvc-3279,2.75,0.432243,0.158146,0.34713
mvc-3279,3.0,0.274884,0.409251,0.280525
mvc-3279,3.25,0.29375,0.645529,0.356638
mvc-3279,3.5,0.405995,0.467176,0.403969
mvc-3279,3.75,0.397989,0.529432,0.392843
mvc-3279,4.0,0.342295,0.697193,0.400566
mvc-3279,4.25,0.323866,0.401076,0.36965
mvc-3279,4.5,0.298782,0.193773,0.317415
mvc-3279,4.75,0.250457,0.158543,0.269179
mvc-3279,5.0,0.182678,0.119629,0.202415
mvc-3279,5.25,0.1055,0.066809,0.116056
mvc-3279,5.5,0.034271,0.033336,0.043508
mvc-3279,5.75,0.008448,0.008762,0.010784
mvc-3279,6.0,0.022221,0.002149,0.015844
mvc-3279,6.25,0.051455,0.003388,0.035747
mvc-3279,6.5,0.041784,0.002737,0.02902
mvc-3279,6.75,0.011569,0.000758,0.008035
mvc-3279,7.0,0.001032,6.8e-05,0.000717
mvc-3279,7.25,2.8e-05,2e-06,1.9e-05
mvc-3279,7.5,0.0,0.0,0.0
mvc-3279,7.75,0.0,0.0,0.0
mvc-3279,8.0,0.0,0.0,0.0
mvc-3279,8.25,0.0,0.0,0.0
mvc-3279,8.5,0.0,0.0,0.0
mvc-3279,8.75,0.0,0.0,0.0
mvc-3279,9.0,0.0,0.0,0.0
mvc-3279,9.25,0.0,0.0,0.0
mvc-3279,9.5,0.0,0.0,0.0
mvc-3279,9.75,0.0,0.0,0.0
mvc-3279,10.0,0.0,0.0,0.0
mvc-3279,10.25,0.0,0.0,0.0
mvc-3279,10.5,0.0,0.0,0.0
mvc-3279,10.75,0.0,0.0,0.0
mvc-3279,11.0,0.0,0.0,0.0
mvc-3279,11.25,0.0,0.0,0.0
mvc-3279,11.5,0.0,0.0,0.0
mvc-3279,11.75,0.0,0.0,0.0
mvc-3279,12.0,0.0,0.0,0.0
mvc-3279,12.25,0.0,0.0,0.0
mvc-3279,12.5,0.0,0.0,0.0
mvc-3279,12.75,0.0,0.0,0.0
mvc-3279,13.0,0.0,0.0,0.0
mvc-3279,13.25,0.0,0.0,0.0
mvc-3279,13.5,0.0,0.0,0.0
mvc-3279,13.75,0.0,0.0,0.0
mvc-3279,14.0,0.0,0.0,0.0
mvc-3279,14.25,0.0,0.0,0.0
mvc-3279,14.5,0.0,0.0,0.0
mvc-3279,14.75,0.0,0.0,0.0
mvc-3279,15.0,0.0,0.0,0.0
