materialid,radius,elneg,vdw,polar
mp-766382,2.0,0.01439,0.004101,0.020592
mp-766382,2.25,0.045851,0.012223,0.053892
mp-766382,2.5,0.160683,0.027396,0.139563
mp-766382,2.75,0.248636,0.034221,0.181467
mp-766382,3.0,0.15319,0.079032,0.12019
mp-766382,3.25,0.062812,0.224507,0.089464
mp-766382,3.5,0.059514,0.270231,0.090009
mp-766382,3.75,0.074871,0.211477,0.087183
mp-766382,4.0,0.10512,0.182655,0.121055
mp-766382,4.25,0.139776,0.098491,0.156439
mp-766382,4.5,0.144901,0.039837,0.155077
mp-766382,4.75,0.112546,0.023689,0.115648
mp-766382,5.0,0.079052,0.024771,0.065169
mp-766382,5.25,0.079929,0.071068,0.056306
mp-766382,5.5,0.083184,0.110709,0.068032
mp-766382,5.75,0.106801,0.074601,0.091866
mp-766382,6.0,0.143495,0.075132,0.129934
mp-766382,6.25,0.148653,0.185965,0.161206
mp-766382,6.5,0.124949,0.250367,0.154102
mp-766382,6.75,0.070943,0.138559,0.089481
mp-766382,7.0,0.033607,0.031866,0.040996
mp-766382,7.25,0.018711,0.008855,0.02143
mp-766382,7.5,0.0445,0.040725,0.041413
mp-766382,7.75,0.107068,0.12722,0.106177
mp-766382,8.0,0.148241,0.151846,0.152048
mp-766382,8.25,0.166186,0.090446,0.163627
mp-766382,8.5,0.141797,0.106686,0.137069
mp-766382,8.75,0.096347,0.170444,0.094768
mp-766382,9.0,0.050775,0.110638,0.047212
mp-766382,9.25,0.025954,0.02502,0.019389
mp-766382,9.5,0.054521,0.011353,0.046293
mp-766382,9.75,0.12442,0.046782,0.117373
mp-766382,10.0,0.156872,0.147416,0.163611
mp-766382,10.25,0.14333,0.249396,0.169968
mp-766382,10.5,0.096864,0.180344,0.11566
mp-766382,10.75,0.035899,0.049047,0.041238
mp-766382,11.0,0.013574,0.005511,0.011402
mp-766382,11.25,0.023528,0.007913,0.015631
mp-766382,11.5,0.059851,0.038346,0.051965
mp-766382,11.75,0.104006,0.070486,0.101482
mp-766382,12.0,0.10447,0.065145,0.103421
mp-766382,12.25,0.064024,0.066527,0.063747
mp-766382,12.5,0.022343,0.046561,0.023225
mp-766382,12.75,0.00359,0.011509,0.00393
mp-766382,13.0,0.000217,0.000868,0.000245
mp-766382,13.25,4e-06,1.9e-05,5e-06
mp-766382,13.5,0.0,0.0,0.0
mp-766382,13.75,0.0,0.0,0.0
mp-766382,14.0,0.0,0.0,0.0
mp-766382,14.25,0.0,0.0,0.0
mp-766382,14.5,0.0,0.0,0.0
mp-766382,14.75,0.0,0.0,0.0
mp-766382,15.0,0.0,0.0,0.0
