materialid,radius,elneg,vdw,polar
mp-766375,2.0,0.060308,0.033595,0.084382
mp-766375,2.25,0.131112,0.053874,0.134425
mp-766375,2.5,0.239831,0.095639,0.18443
mp-766375,2.75,0.269052,0.213945,0.204913
mp-766375,3.0,0.215596,0.467939,0.223862
mp-766375,3.25,0.225583,0.691427,0.312849
mp-766375,3.5,0.289384,0.495624,0.36469
mp-766375,3.75,0.297744,0.223703,0.325003
mp-766375,4.0,0.307906,0.153905,0.321632
mp-766375,4.25,0.306693,0.192234,0.337697
mp-766375,4.5,0.222551,0.169472,0.246879
mp-766375,4.75,0.192306,0.116444,0.174842
mp-766375,5.0,0.210786,0.099763,0.163758
mp-766375,5.25,0.171502,0.133403,0.140885
mp-766375,5.5,0.133776,0.121977,0.12341
mp-766375,5.75,0.117115,0.053684,0.109105
mp-766375,6.0,0.118266,0.021707,0.095389
mp-766375,6.25,0.092274,0.010614,0.06233
mp-766375,6.5,0.050835,0.033779,0.041088
mp-766375,6.75,0.068584,0.126561,0.075304
mp-766375,7.0,0.092577,0.173217,0.100738
mp-766375,7.25,0.058985,0.111215,0.066694
mp-766375,7.5,0.019728,0.054991,0.025483
mp-766375,7.75,0.022283,0.016691,0.015345
mp-766375,8.0,0.041742,0.002375,0.022491
mp-766375,8.25,0.029792,0.000455,0.015815
mp-766375,8.5,0.007513,9.9e-05,0.003985
mp-766375,8.75,0.000646,9e-06,0.000343
mp-766375,9.0,1.8e-05,4e-06,1e-05
mp-766375,9.25,2e-06,0.000286,1.8e-05
mp-766375,9.5,5e-05,0.005563,0.00038
mp-766375,9.75,0.000465,0.031607,0.002714
mp-766375,10.0,0.001715,0.054686,0.007487
mp-766375,10.25,0.002244,0.031768,0.008154
mp-766375,10.5,0.000921,0.007099,0.003094
mp-766375,10.75,0.000112,0.000627,0.000365
mp-766375,11.0,4e-06,1.9e-05,1.3e-05
mp-766375,11.25,0.0,0.0,0.0
mp-766375,11.5,0.0,0.0,0.0
mp-766375,11.75,0.0,0.0,0.0
mp-766375,12.0,0.0,0.0,0.0
mp-766375,12.25,0.0,0.0,0.0
mp-766375,12.5,0.0,0.0,0.0
mp-766375,12.75,0.0,0.0,0.0
mp-766375,13.0,0.0,0.0,0.0
mp-766375,13.25,0.0,0.0,0.0
mp-766375,13.5,0.0,0.0,0.0
mp-766375,13.75,0.0,0.0,0.0
mp-766375,14.0,0.0,0.0,0.0
mp-766375,14.25,0.0,0.0,0.0
mp-766375,14.5,0.0,0.0,0.0
mp-766375,14.75,0.0,0.0,0.0
mp-766375,15.0,0.0,0.0,0.0
