materialid,radius,elneg,vdw,polar
mp-767499,2.0,0.014978,0.031265,0.02582
mp-767499,2.25,0.049713,0.031412,0.04757
mp-767499,2.5,0.10773,0.014673,0.074929
mp-767499,2.75,0.12676,0.012518,0.084879
mp-767499,3.0,0.099141,0.042042,0.074862
mp-767499,3.25,0.087736,0.141814,0.09181
mp-767499,3.5,0.11709,0.24806,0.140788
mp-767499,3.75,0.179039,0.217055,0.196976
mp-767499,4.0,0.245604,0.16279,0.259483
mp-767499,4.25,0.282218,0.19864,0.312949
mp-767499,4.5,0.303438,0.218195,0.323028
mp-767499,4.75,0.295676,0.216052,0.285684
mp-767499,5.0,0.277714,0.240502,0.255068
mp-767499,5.25,0.255474,0.329875,0.243568
mp-767499,5.5,0.221418,0.367318,0.229515
mp-767499,5.75,0.208496,0.24201,0.209475
mp-767499,6.0,0.209114,0.228895,0.206442
mp-767499,6.25,0.215562,0.275743,0.215731
mp-767499,6.5,0.191696,0.182016,0.185178
mp-767499,6.75,0.140261,0.131676,0.143055
mp-767499,7.0,0.110795,0.123394,0.123014
mp-767499,7.25,0.083454,0.078104,0.091745
mp-767499,7.5,0.059731,0.038798,0.063671
mp-767499,7.75,0.041041,0.022025,0.041816
mp-767499,8.0,0.026382,0.014942,0.02412
mp-767499,8.25,0.023325,0.037908,0.020268
mp-767499,8.5,0.018449,0.081932,0.018624
mp-767499,8.75,0.006943,0.057662,0.008483
mp-767499,9.0,0.000973,0.011953,0.001377
mp-767499,9.25,4.6e-05,0.00072,7.2e-05
mp-767499,9.5,1e-06,1.3e-05,1e-06
mp-767499,9.75,0.0,0.0,0.0
mp-767499,10.0,0.0,0.0,0.0
mp-767499,10.25,0.0,0.0,0.0
mp-767499,10.5,0.0,0.0,0.0
mp-767499,10.75,0.0,0.0,0.0
mp-767499,11.0,0.0,0.0,0.0
mp-767499,11.25,0.0,0.0,0.0
mp-767499,11.5,0.0,0.0,0.0
mp-767499,11.75,0.0,0.0,0.0
mp-767499,12.0,0.0,0.0,0.0
mp-767499,12.25,0.0,0.0,0.0
mp-767499,12.5,0.0,0.0,0.0
mp-767499,12.75,0.0,0.0,0.0
mp-767499,13.0,0.0,0.0,0.0
mp-767499,13.25,0.0,0.0,0.0
mp-767499,13.5,0.0,0.0,0.0
mp-767499,13.75,0.0,0.0,0.0
mp-767499,14.0,0.0,0.0,0.0
mp-767499,14.25,0.0,0.0,0.0
mp-767499,14.5,0.0,0.0,0.0
mp-767499,14.75,0.0,0.0,0.0
mp-767499,15.0,0.0,0.0,0.0
