materialid,radius,elneg,vdw,polar
mp-756079,2.0,0.124563,0.082143,0.297606
mp-756079,2.25,0.210766,0.072784,0.309297
mp-756079,2.5,0.43329,0.045746,0.280825
mp-756079,2.75,0.703069,0.111357,0.390504
mp-756079,3.0,0.716696,0.141722,0.401247
mp-756079,3.25,0.339838,0.20545,0.229819
mp-756079,3.5,0.149291,0.740335,0.340338
mp-756079,3.75,0.224683,1.004923,0.61106
mp-756079,4.0,0.17669,0.44382,0.408399
mp-756079,4.25,0.115475,0.235941,0.157656
mp-756079,4.5,0.137697,0.305922,0.125854
mp-756079,4.75,0.077628,0.157421,0.064266
mp-756079,5.0,0.094295,0.107112,0.064239
mp-756079,5.25,0.231145,0.194016,0.15171
mp-756079,5.5,0.200509,0.125831,0.128075
mp-756079,5.75,0.058287,0.024088,0.035602
mp-756079,6.0,0.005872,0.001367,0.003391
mp-756079,6.25,0.000202,2.3e-05,0.000111
mp-756079,6.5,2e-06,0.0,1e-06
mp-756079,6.75,0.0,0.0,0.0
mp-756079,7.0,0.0,0.0,0.0
mp-756079,7.25,0.0,0.0,0.0
mp-756079,7.5,0.0,0.0,0.0
mp-756079,7.75,0.0,0.0,0.0
mp-756079,8.0,0.0,0.0,0.0
mp-756079,8.25,0.0,0.0,0.0
mp-756079,8.5,0.0,0.0,0.0
mp-756079,8.75,0.0,0.0,0.0
mp-756079,9.0,0.0,0.0,0.0
mp-756079,9.25,0.0,0.0,0.0
mp-756079,9.5,0.0,0.0,0.0
mp-756079,9.75,0.0,0.0,0.0
mp-756079,10.0,0.0,0.0,0.0
mp-756079,10.25,0.0,0.0,0.0
mp-756079,10.5,0.0,0.0,0.0
mp-756079,10.75,0.0,0.0,0.0
mp-756079,11.0,0.0,0.0,0.0
mp-756079,11.25,0.0,0.0,0.0
mp-756079,11.5,0.0,0.0,0.0
mp-756079,11.75,0.0,0.0,0.0
mp-756079,12.0,0.0,0.0,0.0
mp-756079,12.25,0.0,0.0,0.0
mp-756079,12.5,0.0,0.0,0.0
mp-756079,12.75,0.0,0.0,0.0
mp-756079,13.0,0.0,0.0,0.0
mp-756079,13.25,0.0,0.0,0.0
mp-756079,13.5,0.0,0.0,0.0
mp-756079,13.75,0.0,0.0,0.0
mp-756079,14.0,0.0,0.0,0.0
mp-756079,14.25,0.0,0.0,0.0
mp-756079,14.5,0.0,0.0,0.0
mp-756079,14.75,0.0,0.0,0.0
mp-756079,15.0,0.0,0.0,0.0
