materialid,radius,elneg,vdw,polar
mp-760815,2.0,0.117993,0.025745,0.154841
mp-760815,2.25,0.124844,0.038245,0.159711
mp-760815,2.5,0.151204,0.126837,0.129554
mp-760815,2.75,0.304871,0.436647,0.24625
mp-760815,3.0,0.358323,0.613843,0.328021
mp-760815,3.25,0.274713,0.345921,0.253865
mp-760815,3.5,0.217952,0.109148,0.23165
mp-760815,3.75,0.207404,0.103858,0.235544
mp-760815,4.0,0.185018,0.197742,0.187173
mp-760815,4.25,0.199719,0.243861,0.204624
mp-760815,4.5,0.268127,0.199686,0.312965
mp-760815,4.75,0.371573,0.291608,0.436087
mp-760815,5.0,0.398965,0.408978,0.398845
mp-760815,5.25,0.262422,0.270285,0.214218
mp-760815,5.5,0.097253,0.12762,0.075498
mp-760815,5.75,0.081108,0.130358,0.071977
mp-760815,6.0,0.112874,0.109016,0.100138
mp-760815,6.25,0.105664,0.088061,0.110687
mp-760815,6.5,0.093927,0.08531,0.096442
mp-760815,6.75,0.052449,0.039921,0.04314
mp-760815,7.0,0.012514,0.006895,0.008173
mp-760815,7.25,0.001056,0.000408,0.000582
mp-760815,7.5,2.9e-05,8e-06,1.4e-05
mp-760815,7.75,0.0,0.0,0.0
mp-760815,8.0,0.0,0.0,0.0
mp-760815,8.25,0.0,0.0,0.0
mp-760815,8.5,0.0,0.0,0.0
mp-760815,8.75,0.0,0.0,0.0
mp-760815,9.0,0.0,0.0,0.0
mp-760815,9.25,0.0,0.0,0.0
mp-760815,9.5,0.0,0.0,0.0
mp-760815,9.75,0.0,0.0,0.0
mp-760815,10.0,0.0,0.0,0.0
mp-760815,10.25,0.0,0.0,0.0
mp-760815,10.5,0.0,0.0,0.0
mp-760815,10.75,0.0,0.0,0.0
mp-760815,11.0,0.0,0.0,0.0
mp-760815,11.25,0.0,0.0,0.0
mp-760815,11.5,0.0,0.0,0.0
mp-760815,11.75,0.0,0.0,0.0
mp-760815,12.0,0.0,0.0,0.0
mp-760815,12.25,0.0,0.0,0.0
mp-760815,12.5,0.0,0.0,0.0
mp-760815,12.75,0.0,0.0,0.0
mp-760815,13.0,0.0,0.0,0.0
mp-760815,13.25,0.0,0.0,0.0
mp-760815,13.5,0.0,0.0,0.0
mp-760815,13.75,0.0,0.0,0.0
mp-760815,14.0,0.0,0.0,0.0
mp-760815,14.25,0.0,0.0,0.0
mp-760815,14.5,0.0,0.0,0.0
mp-760815,14.75,0.0,0.0,0.0
mp-760815,15.0,0.0,0.0,0.0
