materialid,radius,elneg,vdw,polar
mp-755021,2.0,0.006276,0.000633,0.005644
mp-755021,2.25,0.104013,0.010484,0.093535
mp-755021,2.5,0.493871,0.049778,0.444123
mp-755021,2.75,0.672147,0.06778,0.604445
mp-755021,3.0,0.272665,0.030708,0.245561
mp-755021,3.25,0.141136,0.102997,0.136864
mp-755021,3.5,0.338857,0.734125,0.383136
mp-755021,3.75,0.306741,1.612225,0.452982
mp-755021,4.0,0.113619,1.034945,0.216827
mp-755021,4.25,0.252351,0.21523,0.248192
mp-755021,4.5,0.661751,0.076782,0.596222
mp-755021,4.75,0.514472,0.052008,0.462666
mp-755021,5.0,0.114647,0.011556,0.103099
mp-755021,5.25,0.00732,0.000738,0.006583
mp-755021,5.5,0.000134,1.3e-05,0.00012
mp-755021,5.75,1e-06,0.0,1e-06
mp-755021,6.0,0.0,0.0,0.0
mp-755021,6.25,0.0,0.0,0.0
mp-755021,6.5,0.0,0.0,0.0
mp-755021,6.75,0.0,0.0,0.0
mp-755021,7.0,0.0,0.0,0.0
mp-755021,7.25,0.0,0.0,0.0
mp-755021,7.5,0.0,0.0,0.0
mp-755021,7.75,0.0,0.0,0.0
mp-755021,8.0,0.0,0.0,0.0
mp-755021,8.25,0.0,0.0,0.0
mp-755021,8.5,0.0,0.0,0.0
mp-755021,8.75,0.0,0.0,0.0
mp-755021,9.0,0.0,0.0,0.0
mp-755021,9.25,0.0,0.0,0.0
mp-755021,9.5,0.0,0.0,0.0
mp-755021,9.75,0.0,0.0,0.0
mp-755021,10.0,0.0,0.0,0.0
mp-755021,10.25,0.0,0.0,0.0
mp-755021,10.5,0.0,0.0,0.0
mp-755021,10.75,0.0,0.0,0.0
mp-755021,11.0,0.0,0.0,0.0
mp-755021,11.25,0.0,0.0,0.0
mp-755021,11.5,0.0,0.0,0.0
mp-755021,11.75,0.0,0.0,0.0
mp-755021,12.0,0.0,0.0,0.0
mp-755021,12.25,0.0,0.0,0.0
mp-755021,12.5,0.0,0.0,0.0
mp-755021,12.75,0.0,0.0,0.0
mp-755021,13.0,0.0,0.0,0.0
mp-755021,13.25,0.0,0.0,0.0
mp-755021,13.5,0.0,0.0,0.0
mp-755021,13.75,0.0,0.0,0.0
mp-755021,14.0,0.0,0.0,0.0
mp-755021,14.25,0.0,0.0,0.0
mp-755021,14.5,0.0,0.0,0.0
mp-755021,14.75,0.0,0.0,0.0
mp-755021,15.0,0.0,0.0,0.0
