materialid,radius,elneg,vdw,polar
mp-774814,2.0,0.019468,0.010093,0.03277
mp-774814,2.25,0.02395,0.008763,0.031432
mp-774814,2.5,0.059729,0.015969,0.038007
mp-774814,2.75,0.150922,0.092146,0.093626
mp-774814,3.0,0.168255,0.242118,0.136225
mp-774814,3.25,0.130344,0.298202,0.148278
mp-774814,3.5,0.136844,0.226795,0.168695
mp-774814,3.75,0.156618,0.143911,0.179191
mp-774814,4.0,0.182143,0.118343,0.195913
mp-774814,4.25,0.209405,0.143328,0.227256
mp-774814,4.5,0.234279,0.197589,0.264988
mp-774814,4.75,0.236636,0.215993,0.254772
mp-774814,5.0,0.260329,0.173439,0.229932
mp-774814,5.25,0.290824,0.16254,0.22838
mp-774814,5.5,0.285169,0.25582,0.244007
mp-774814,5.75,0.266458,0.349866,0.266788
mp-774814,6.0,0.227513,0.316605,0.251741
mp-774814,6.25,0.189438,0.212251,0.209294
mp-774814,6.5,0.169997,0.158133,0.17497
mp-774814,6.75,0.157753,0.160654,0.159176
mp-774814,7.0,0.134167,0.145834,0.140622
mp-774814,7.25,0.098379,0.107353,0.109722
mp-774814,7.5,0.068591,0.074565,0.077602
mp-774814,7.75,0.050729,0.053456,0.052925
mp-774814,8.0,0.037977,0.040017,0.034319
mp-774814,8.25,0.023101,0.024547,0.01907
mp-774814,8.5,0.01508,0.022069,0.014541
mp-774814,8.75,0.011451,0.020851,0.011478
mp-774814,9.0,0.003987,0.007794,0.003841
mp-774814,9.25,0.000449,0.000923,0.000424
mp-774814,9.5,1.5e-05,3.3e-05,1.4e-05
mp-774814,9.75,0.0,0.0,0.0
mp-774814,10.0,0.0,0.0,0.0
mp-774814,10.25,0.0,0.0,0.0
mp-774814,10.5,0.0,0.0,0.0
mp-774814,10.75,0.0,0.0,0.0
mp-774814,11.0,0.0,0.0,0.0
mp-774814,11.25,0.0,0.0,0.0
mp-774814,11.5,0.0,0.0,0.0
mp-774814,11.75,0.0,0.0,0.0
mp-774814,12.0,0.0,0.0,0.0
mp-774814,12.25,0.0,0.0,0.0
mp-774814,12.5,0.0,0.0,0.0
mp-774814,12.75,0.0,0.0,0.0
mp-774814,13.0,0.0,0.0,0.0
mp-774814,13.25,0.0,0.0,0.0
mp-774814,13.5,0.0,0.0,0.0
mp-774814,13.75,0.0,0.0,0.0
mp-774814,14.0,0.0,0.0,0.0
mp-774814,14.25,0.0,0.0,0.0
mp-774814,14.5,0.0,0.0,0.0
mp-774814,14.75,0.0,0.0,0.0
mp-774814,15.0,0.0,0.0,0.0
