materialid,radius,elneg,vdw,polar
mp-770943,2.0,0.071405,0.039354,0.095821
mp-770943,2.25,0.139247,0.057235,0.136675
mp-770943,2.5,0.238438,0.106854,0.171985
mp-770943,2.75,0.2644,0.22037,0.20364
mp-770943,3.0,0.220162,0.409828,0.238484
mp-770943,3.25,0.249964,0.560577,0.33536
mp-770943,3.5,0.278703,0.372593,0.345996
mp-770943,3.75,0.265288,0.174341,0.279835
mp-770943,4.0,0.303977,0.178333,0.293874
mp-770943,4.25,0.325685,0.215003,0.319175
mp-770943,4.5,0.252003,0.194068,0.248437
mp-770943,4.75,0.183972,0.174649,0.16717
mp-770943,5.0,0.185764,0.18141,0.164829
mp-770943,5.25,0.178603,0.146635,0.166143
mp-770943,5.5,0.126059,0.112003,0.125541
mp-770943,5.75,0.086315,0.116602,0.094927
mp-770943,6.0,0.07382,0.125413,0.088026
mp-770943,6.25,0.068029,0.082373,0.079756
mp-770943,6.5,0.06928,0.050784,0.070078
mp-770943,6.75,0.071448,0.075046,0.066167
mp-770943,7.0,0.057334,0.066652,0.054627
mp-770943,7.25,0.051593,0.028414,0.047622
mp-770943,7.5,0.050426,0.036618,0.046359
mp-770943,7.75,0.046685,0.085166,0.043944
mp-770943,8.0,0.045006,0.107157,0.041837
mp-770943,8.25,0.030713,0.054715,0.026274
mp-770943,8.5,0.011399,0.011909,0.009912
mp-770943,8.75,0.00645,0.00185,0.005001
mp-770943,9.0,0.014607,0.000487,0.008222
mp-770943,9.25,0.019212,0.000363,0.010464
mp-770943,9.5,0.009693,0.000178,0.005272
mp-770943,9.75,0.001669,4.8e-05,0.000916
mp-770943,10.0,0.000175,0.00043,0.0003
mp-770943,10.25,0.000582,0.002941,0.00172
mp-770943,10.5,0.001142,0.005786,0.003383
mp-770943,10.75,0.000644,0.003262,0.001907
mp-770943,11.0,0.000104,0.000527,0.000308
mp-770943,11.25,5e-06,2.4e-05,1.4e-05
mp-770943,11.5,0.0,0.0,0.0
mp-770943,11.75,0.0,0.0,0.0
mp-770943,12.0,0.0,0.0,0.0
mp-770943,12.25,0.0,0.0,0.0
mp-770943,12.5,0.0,0.0,0.0
mp-770943,12.75,0.0,0.0,0.0
mp-770943,13.0,0.0,0.0,0.0
mp-770943,13.25,0.0,0.0,0.0
mp-770943,13.5,0.0,0.0,0.0
mp-770943,13.75,0.0,0.0,0.0
mp-770943,14.0,0.0,0.0,0.0
mp-770943,14.25,0.0,0.0,0.0
mp-770943,14.5,0.0,0.0,0.0
mp-770943,14.75,0.0,0.0,0.0
mp-770943,15.0,0.0,0.0,0.0
