materialid,radius,elneg,vdw,polar
mp-770699,2.0,0.281605,0.016291,0.207791
mp-770699,2.25,0.266383,0.0408,0.214809
mp-770699,2.5,0.146245,0.135533,0.205853
mp-770699,2.75,0.22844,0.340213,0.403312
mp-770699,3.0,0.423214,0.616106,0.560288
mp-770699,3.25,0.561543,0.732399,0.533373
mp-770699,3.5,0.534481,0.708381,0.447428
mp-770699,3.75,0.38518,0.508454,0.358742
mp-770699,4.0,0.288512,0.193706,0.284824
mp-770699,4.25,0.250331,0.085318,0.228676
mp-770699,4.5,0.198148,0.10729,0.177623
mp-770699,4.75,0.183734,0.173317,0.160238
mp-770699,5.0,0.093409,0.130483,0.089692
mp-770699,5.25,0.054661,0.039833,0.042391
mp-770699,5.5,0.065898,0.038103,0.038153
mp-770699,5.75,0.03238,0.073423,0.029609
mp-770699,6.0,0.005428,0.049879,0.014386
mp-770699,6.25,0.000392,0.009898,0.002661
mp-770699,6.5,1.4e-05,0.000564,0.00015
mp-770699,6.75,0.0,9e-06,2e-06
mp-770699,7.0,0.0,0.0,0.0
mp-770699,7.25,0.0,0.0,0.0
mp-770699,7.5,0.0,0.0,0.0
mp-770699,7.75,0.0,0.0,0.0
mp-770699,8.0,0.0,0.0,0.0
mp-770699,8.25,0.0,0.0,0.0
mp-770699,8.5,0.0,0.0,0.0
mp-770699,8.75,0.0,0.0,0.0
mp-770699,9.0,0.0,0.0,0.0
mp-770699,9.25,0.0,0.0,0.0
mp-770699,9.5,0.0,0.0,0.0
mp-770699,9.75,0.0,0.0,0.0
mp-770699,10.0,0.0,0.0,0.0
mp-770699,10.25,0.0,0.0,0.0
mp-770699,10.5,0.0,0.0,0.0
mp-770699,10.75,0.0,0.0,0.0
mp-770699,11.0,0.0,0.0,0.0
mp-770699,11.25,0.0,0.0,0.0
mp-770699,11.5,0.0,0.0,0.0
mp-770699,11.75,0.0,0.0,0.0
mp-770699,12.0,0.0,0.0,0.0
mp-770699,12.25,0.0,0.0,0.0
mp-770699,12.5,0.0,0.0,0.0
mp-770699,12.75,0.0,0.0,0.0
mp-770699,13.0,0.0,0.0,0.0
mp-770699,13.25,0.0,0.0,0.0
mp-770699,13.5,0.0,0.0,0.0
mp-770699,13.75,0.0,0.0,0.0
mp-770699,14.0,0.0,0.0,0.0
mp-770699,14.25,0.0,0.0,0.0
mp-770699,14.5,0.0,0.0,0.0
mp-770699,14.75,0.0,0.0,0.0
mp-770699,15.0,0.0,0.0,0.0
