materialid,radius,elneg,vdw,polar
mp-540517,2.0,0.014543,0.018011,0.021814
mp-540517,2.25,0.045693,0.022674,0.042481
mp-540517,2.5,0.095257,0.027277,0.068653
mp-540517,2.75,0.106605,0.065924,0.078751
mp-540517,3.0,0.102462,0.145969,0.093109
mp-540517,3.25,0.112177,0.215562,0.127787
mp-540517,3.5,0.117819,0.199064,0.144455
mp-540517,3.75,0.137085,0.141581,0.154349
mp-540517,4.0,0.178241,0.114821,0.182483
mp-540517,4.25,0.209278,0.112444,0.209589
mp-540517,4.5,0.219746,0.108958,0.211499
mp-540517,4.75,0.236095,0.133425,0.217746
mp-540517,5.0,0.259378,0.203556,0.247627
mp-540517,5.25,0.26127,0.263696,0.262039
mp-540517,5.5,0.242994,0.311972,0.250056
mp-540517,5.75,0.215221,0.334582,0.226518
mp-540517,6.0,0.194587,0.319376,0.20731
mp-540517,6.25,0.197703,0.285425,0.206456
mp-540517,6.5,0.175917,0.19314,0.184521
mp-540517,6.75,0.150488,0.114542,0.154791
mp-540517,7.0,0.135153,0.089925,0.128595
mp-540517,7.25,0.115811,0.098227,0.108039
mp-540517,7.5,0.10296,0.100301,0.099189
mp-540517,7.75,0.092123,0.095884,0.089408
mp-540517,8.0,0.075189,0.081365,0.073186
mp-540517,8.25,0.064082,0.086873,0.064353
mp-540517,8.5,0.049815,0.062241,0.049384
mp-540517,8.75,0.031043,0.020713,0.02977
mp-540517,9.0,0.019808,0.008282,0.019966
mp-540517,9.25,0.012315,0.007146,0.014534
mp-540517,9.5,0.00772,0.006944,0.010782
mp-540517,9.75,0.006935,0.0058,0.008675
mp-540517,10.0,0.007166,0.003127,0.006685
mp-540517,10.25,0.004772,0.000949,0.003689
mp-540517,10.5,0.002016,0.000194,0.001377
mp-540517,10.75,0.000485,3e-05,0.000309
mp-540517,11.0,4.3e-05,2e-06,2.7e-05
mp-540517,11.25,1e-06,0.0,1e-06
mp-540517,11.5,0.0,0.0,0.0
mp-540517,11.75,0.0,0.0,0.0
mp-540517,12.0,0.0,0.0,0.0
mp-540517,12.25,0.0,0.0,0.0
mp-540517,12.5,0.0,0.0,0.0
mp-540517,12.75,0.0,0.0,0.0
mp-540517,13.0,0.0,0.0,0.0
mp-540517,13.25,0.0,0.0,0.0
mp-540517,13.5,0.0,0.0,0.0
mp-540517,13.75,0.0,0.0,0.0
mp-540517,14.0,0.0,0.0,0.0
mp-540517,14.25,0.0,0.0,0.0
mp-540517,14.5,0.0,0.0,0.0
mp-540517,14.75,0.0,0.0,0.0
mp-540517,15.0,0.0,0.0,0.0
