materialid,radius,elneg,vdw,polar
mp-773088,2.0,0.021948,0.011801,0.030568
mp-773088,2.25,0.043368,0.013673,0.045263
mp-773088,2.5,0.137801,0.012805,0.091543
mp-773088,2.75,0.339451,0.041695,0.21255
mp-773088,3.0,0.383776,0.165728,0.267605
mp-773088,3.25,0.25466,0.418543,0.257767
mp-773088,3.5,0.201295,0.603719,0.289634
mp-773088,3.75,0.231737,0.484448,0.320146
mp-773088,4.0,0.278096,0.284695,0.343112
mp-773088,4.25,0.315961,0.297431,0.379043
mp-773088,4.5,0.321826,0.337137,0.379203
mp-773088,4.75,0.309143,0.241903,0.315526
mp-773088,5.0,0.303304,0.269212,0.281732
mp-773088,5.25,0.228267,0.288853,0.226639
mp-773088,5.5,0.146034,0.186922,0.154392
mp-773088,5.75,0.123667,0.10298,0.113402
mp-773088,6.0,0.112058,0.041429,0.087584
mp-773088,6.25,0.079215,0.034269,0.062029
mp-773088,6.5,0.039179,0.05025,0.03613
mp-773088,6.75,0.031533,0.044038,0.031356
mp-773088,7.0,0.033556,0.040828,0.031667
mp-773088,7.25,0.034128,0.022766,0.024988
mp-773088,7.5,0.022239,0.004465,0.013605
mp-773088,7.75,0.006882,0.000384,0.004008
mp-773088,8.0,0.000842,2.5e-05,0.000487
mp-773088,8.25,3.4e-05,1e-06,2e-05
mp-773088,8.5,0.0,0.0,0.0
mp-773088,8.75,0.0,0.0,0.0
mp-773088,9.0,0.0,0.0,0.0
mp-773088,9.25,0.0,0.0,0.0
mp-773088,9.5,0.0,0.0,0.0
mp-773088,9.75,0.0,0.0,0.0
mp-773088,10.0,0.0,0.0,0.0
mp-773088,10.25,0.0,0.0,0.0
mp-773088,10.5,0.0,0.0,0.0
mp-773088,10.75,0.0,0.0,0.0
mp-773088,11.0,0.0,0.0,0.0
mp-773088,11.25,0.0,0.0,0.0
mp-773088,11.5,0.0,0.0,0.0
mp-773088,11.75,0.0,0.0,0.0
mp-773088,12.0,0.0,0.0,0.0
mp-773088,12.25,0.0,0.0,0.0
mp-773088,12.5,0.0,0.0,0.0
mp-773088,12.75,0.0,0.0,0.0
mp-773088,13.0,0.0,0.0,0.0
mp-773088,13.25,0.0,0.0,0.0
mp-773088,13.5,0.0,0.0,0.0
mp-773088,13.75,0.0,0.0,0.0
mp-773088,14.0,0.0,0.0,0.0
mp-773088,14.25,0.0,0.0,0.0
mp-773088,14.5,0.0,0.0,0.0
mp-773088,14.75,0.0,0.0,0.0
mp-773088,15.0,0.0,0.0,0.0
