materialid,radius,elneg,vdw,polar
mvc-11138,2.0,0.152448,0.059774,0.208988
mvc-11138,2.25,0.136879,0.048838,0.183738
mvc-11138,2.5,0.110628,0.015236,0.087804
mvc-11138,2.75,0.373886,0.06043,0.190975
mvc-11138,3.0,0.339872,0.67533,0.320188
mvc-11138,3.25,0.23275,0.237982,0.191795
mvc-11138,3.5,0.152491,0.659029,0.316658
mvc-11138,3.75,0.10983,0.302865,0.182336
mvc-11138,4.0,0.232436,0.05697,0.238893
mvc-11138,4.25,0.175921,0.032669,0.156465
mvc-11138,4.5,0.343004,0.061665,0.300063
mvc-11138,4.75,0.470634,0.107605,0.429043
mvc-11138,5.0,0.298964,0.493919,0.314854
mvc-11138,5.25,0.239331,0.139306,0.152838
mvc-11138,5.5,0.188162,0.326159,0.235407
mvc-11138,5.75,0.138735,0.338205,0.17871
mvc-11138,6.0,0.083778,0.075034,0.057965
mvc-11138,6.25,0.04966,0.138296,0.056952
mvc-11138,6.5,0.127476,0.165225,0.169645
mvc-11138,6.75,0.024565,0.005289,0.018462
mvc-11138,7.0,0.018511,0.000175,0.008205
mvc-11138,7.25,4e-05,0.0,1.8e-05
mvc-11138,7.5,0.0,0.0,0.0
mvc-11138,7.75,0.0,0.0,0.0
mvc-11138,8.0,0.0,0.0,0.0
mvc-11138,8.25,0.0,0.0,0.0
mvc-11138,8.5,0.0,0.0,0.0
mvc-11138,8.75,0.0,0.0,0.0
mvc-11138,9.0,0.0,0.0,0.0
mvc-11138,9.25,0.0,0.0,0.0
mvc-11138,9.5,0.0,0.0,0.0
mvc-11138,9.75,0.0,0.0,0.0
mvc-11138,10.0,0.0,0.0,0.0
mvc-11138,10.25,0.0,0.0,0.0
mvc-11138,10.5,0.0,0.0,0.0
mvc-11138,10.75,0.0,0.0,0.0
mvc-11138,11.0,0.0,0.0,0.0
mvc-11138,11.25,0.0,0.0,0.0
mvc-11138,11.5,0.0,0.0,0.0
mvc-11138,11.75,0.0,0.0,0.0
mvc-11138,12.0,0.0,0.0,0.0
mvc-11138,12.25,0.0,0.0,0.0
mvc-11138,12.5,0.0,0.0,0.0
mvc-11138,12.75,0.0,0.0,0.0
mvc-11138,13.0,0.0,0.0,0.0
mvc-11138,13.25,0.0,0.0,0.0
mvc-11138,13.5,0.0,0.0,0.0
mvc-11138,13.75,0.0,0.0,0.0
mvc-11138,14.0,0.0,0.0,0.0
mvc-11138,14.25,0.0,0.0,0.0
mvc-11138,14.5,0.0,0.0,0.0
mvc-11138,14.75,0.0,0.0,0.0
mvc-11138,15.0,0.0,0.0,0.0
