,R,elneg,vdw,polar
0,2.0,0.135354,0.052788,0.193837
1,2.25,0.120652,0.047054,0.172782
2,2.5,0.073693,0.02637,0.098319
3,2.75,0.218358,0.149435,0.140187
4,3.0,0.540315,0.098869,0.272282
5,3.25,0.18175,0.905834,0.317417
6,3.5,0.126167,0.362881,0.187053
7,3.75,0.039866,0.018092,0.057141
8,4.0,0.190796,0.057186,0.229341
9,4.25,0.221962,0.006726,0.114417
10,4.5,0.057686,0.002149,0.030758
11,4.75,0.159945,0.049812,0.185594
12,5.0,0.127801,0.266709,0.197088
13,5.25,0.257851,0.046625,0.182858
14,5.5,0.145683,0.00374,0.068832
15,5.75,0.112122,0.366245,0.179784
16,6.0,0.13825,0.127143,0.110443
17,6.25,0.056752,0.02423,0.08083
18,6.5,0.13952,0.398874,0.200683
19,6.75,0.140386,0.370577,0.202054
20,7.0,0.08186,0.021325,0.071683
21,7.25,0.243016,0.03532,0.196506
22,7.5,0.124262,0.022101,0.110779
23,7.75,0.047372,0.018038,0.066727
24,8.0,0.114861,0.007442,0.063045
25,8.25,0.174648,0.283375,0.199638
26,8.5,0.028951,0.229401,0.069469
27,8.75,0.000119,0.001658,0.000456
28,9.0,0.0,0.0,0.0
29,9.25,0.0,0.0,0.0
30,9.5,0.0,0.0,0.0
31,9.75,0.0,0.0,0.0
32,10.0,0.0,0.0,0.0
33,10.25,0.0,0.0,0.0
34,10.5,0.0,0.0,0.0
35,10.75,0.0,0.0,0.0
36,11.0,0.0,0.0,0.0
37,11.25,0.0,0.0,0.0
38,11.5,0.0,0.0,0.0
39,11.75,0.0,0.0,0.0
40,12.0,0.0,0.0,0.0
41,12.25,0.0,0.0,0.0
42,12.5,0.0,0.0,0.0
43,12.75,0.0,0.0,0.0
44,13.0,0.0,0.0,0.0
45,13.25,0.0,0.0,0.0
46,13.5,0.0,0.0,0.0
47,13.75,0.0,0.0,0.0
48,14.0,0.0,0.0,0.0
49,14.25,0.0,0.0,0.0
50,14.5,0.0,0.0,0.0
51,14.75,0.0,0.0,0.0
52,15.0,0.0,0.0,0.0
