materialid,radius,elneg,vdw,polar
mvc-5310,2.0,0.084882,0.053966,0.133716
mvc-5310,2.25,0.02962,0.018609,0.046291
mvc-5310,2.5,0.039016,0.001686,0.021898
mvc-5310,2.75,0.287681,0.09177,0.173322
mvc-5310,3.0,0.212529,0.111611,0.136081
mvc-5310,3.25,0.058242,0.139828,0.074622
mvc-5310,3.5,0.12864,0.529813,0.26002
mvc-5310,3.75,0.090533,0.134054,0.134286
mvc-5310,4.0,0.089,0.005091,0.053405
mvc-5310,4.25,0.032553,0.002608,0.021187
mvc-5310,4.5,0.058107,0.03662,0.090998
mvc-5310,4.75,0.106207,0.046312,0.121259
mvc-5310,5.0,0.270095,0.157931,0.184046
mvc-5310,5.25,0.122436,0.074722,0.087092
mvc-5310,5.5,0.031892,0.205716,0.068127
mvc-5310,5.75,0.072509,0.149197,0.074229
mvc-5310,6.0,0.145201,0.278482,0.160288
mvc-5310,6.25,0.120083,0.066493,0.16666
mvc-5310,6.5,0.102117,0.018633,0.083854
mvc-5310,6.75,0.024973,0.001335,0.015146
mvc-5310,7.0,0.022382,0.000471,0.012368
mvc-5310,7.25,0.050115,0.015721,0.050731
mvc-5310,7.5,0.138325,0.08068,0.166715
mvc-5310,7.75,0.212636,0.06924,0.153417
mvc-5310,8.0,0.133681,0.280561,0.140688
mvc-5310,8.25,0.018782,0.042838,0.027749
mvc-5310,8.5,0.004492,0.010021,0.004383
mvc-5310,8.75,0.093801,0.060338,0.068114
mvc-5310,9.0,0.180367,0.393429,0.245029
mvc-5310,9.25,0.160573,0.175365,0.181797
mvc-5310,9.5,0.051425,0.005759,0.034822
mvc-5310,9.75,0.03539,0.000854,0.019737
mvc-5310,10.0,0.01427,0.002181,0.01101
mvc-5310,10.25,0.047386,0.028665,0.063467
mvc-5310,10.5,0.222513,0.129233,0.217118
mvc-5310,10.75,0.170755,0.104428,0.131935
mvc-5310,11.0,0.02846,0.12105,0.043072
mvc-5310,11.25,0.003379,0.003879,0.004609
mvc-5310,11.5,0.017221,0.004946,0.010291
mvc-5310,11.75,0.067283,0.134456,0.066085
mvc-5310,12.0,0.090589,0.057653,0.105008
mvc-5310,12.25,0.043825,0.014393,0.046605
mvc-5310,12.5,0.020211,0.002195,0.014113
mvc-5310,12.75,0.011355,0.000211,0.006229
mvc-5310,13.0,0.002198,4e-05,0.001205
mvc-5310,13.25,0.000288,0.000239,0.000204
mvc-5310,13.5,0.023144,0.051812,0.023524
mvc-5310,13.75,0.024666,0.04483,0.031747
mvc-5310,14.0,0.004156,0.039721,0.011634
mvc-5310,14.25,1.7e-05,0.000316,6.8e-05
mvc-5310,14.5,0.0,0.0,0.0
mvc-5310,14.75,0.0,0.0,0.0
mvc-5310,15.0,0.0,0.0,0.0
