materialid,radius,elneg,vdw,polar
mp-1042373,2.0,0.044357,0.05201,0.068213
mp-1042373,2.25,0.116498,0.13419,0.177154
mp-1042373,2.5,0.107702,0.056008,0.10728
mp-1042373,2.75,0.143516,0.015575,0.093921
mp-1042373,3.0,0.177612,0.012705,0.11078
mp-1042373,3.25,0.164728,0.018673,0.103881
mp-1042373,3.5,0.100707,0.270192,0.107812
mp-1042373,3.75,0.092426,0.367916,0.141785
mp-1042373,4.0,0.143199,0.295188,0.1986
mp-1042373,4.25,0.234485,0.204412,0.240458
mp-1042373,4.5,0.143661,0.136017,0.153593
mp-1042373,4.75,0.201869,0.111506,0.206443
mp-1042373,5.0,0.237947,0.07871,0.198367
mp-1042373,5.25,0.207365,0.274309,0.223778
mp-1042373,5.5,0.259677,0.121027,0.212867
mp-1042373,5.75,0.129953,0.096844,0.118405
mp-1042373,6.0,0.239318,0.261012,0.232937
mp-1042373,6.25,0.153808,0.130724,0.177626
mp-1042373,6.5,0.11947,0.276047,0.150278
mp-1042373,6.75,0.082532,0.061471,0.089266
mp-1042373,7.0,0.232831,0.165725,0.218036
mp-1042373,7.25,0.121506,0.172321,0.135654
mp-1042373,7.5,0.124482,0.204557,0.117457
mp-1042373,7.75,0.214887,0.274819,0.198798
mp-1042373,8.0,0.04343,0.069404,0.058794
mp-1042373,8.25,0.072262,0.040189,0.07406
mp-1042373,8.5,0.045595,0.063605,0.050613
mp-1042373,8.75,0.005345,0.032024,0.008914
mp-1042373,9.0,0.025695,0.001882,0.016033
mp-1042373,9.25,0.013121,0.000938,0.008184
mp-1042373,9.5,1.8e-05,1e-06,1.1e-05
mp-1042373,9.75,0.0,0.0,0.0
mp-1042373,10.0,0.0,0.0,0.0
mp-1042373,10.25,0.0,0.0,0.0
mp-1042373,10.5,0.0,0.0,0.0
mp-1042373,10.75,0.0,0.0,0.0
mp-1042373,11.0,0.0,0.0,0.0
mp-1042373,11.25,0.0,0.0,0.0
mp-1042373,11.5,0.0,0.0,0.0
mp-1042373,11.75,0.0,0.0,0.0
mp-1042373,12.0,0.0,0.0,0.0
mp-1042373,12.25,0.0,0.0,0.0
mp-1042373,12.5,0.0,0.0,0.0
mp-1042373,12.75,0.0,0.0,0.0
mp-1042373,13.0,0.0,0.0,0.0
mp-1042373,13.25,0.0,0.0,0.0
mp-1042373,13.5,0.0,0.0,0.0
mp-1042373,13.75,0.0,0.0,0.0
mp-1042373,14.0,0.0,0.0,0.0
mp-1042373,14.25,0.0,0.0,0.0
mp-1042373,14.5,0.0,0.0,0.0
mp-1042373,14.75,0.0,0.0,0.0
mp-1042373,15.0,0.0,0.0,0.0
