materialid,radius,elneg,vdw,polar
mp-1046357,2.0,0.02128,0.022917,0.038039
mp-1046357,2.25,0.111486,0.134387,0.215221
mp-1046357,2.5,0.077803,0.015174,0.060319
mp-1046357,2.75,0.625925,0.078663,0.435699
mp-1046357,3.0,0.637571,0.041693,0.385497
mp-1046357,3.25,0.327118,0.309858,0.245517
mp-1046357,3.5,0.25286,0.345965,0.288519
mp-1046357,3.75,0.137359,0.857115,0.319468
mp-1046357,4.0,0.289896,0.628244,0.416471
mp-1046357,4.25,0.336607,0.496795,0.498885
mp-1046357,4.5,0.253171,0.092347,0.244124
mp-1046357,4.75,0.122351,0.017186,0.087237
mp-1046357,5.0,0.109836,0.058417,0.12752
mp-1046357,5.25,0.216737,0.077223,0.163339
mp-1046357,5.5,0.305166,0.66293,0.306794
mp-1046357,5.75,0.097014,0.156395,0.119075
mp-1046357,6.0,0.030755,0.002824,0.020134
mp-1046357,6.25,0.000179,7e-06,0.000107
mp-1046357,6.5,0.028271,0.001122,0.016904
mp-1046357,6.75,0.018592,0.000738,0.011117
mp-1046357,7.0,2.4e-05,1e-06,1.4e-05
mp-1046357,7.25,0.0,0.0,0.0
mp-1046357,7.5,0.0,0.0,0.0
mp-1046357,7.75,0.0,0.0,0.0
mp-1046357,8.0,0.0,0.0,0.0
mp-1046357,8.25,0.0,0.0,0.0
mp-1046357,8.5,0.0,0.0,0.0
mp-1046357,8.75,0.0,0.0,0.0
mp-1046357,9.0,0.0,0.0,0.0
mp-1046357,9.25,0.0,0.0,0.0
mp-1046357,9.5,0.0,0.0,0.0
mp-1046357,9.75,0.0,0.0,0.0
mp-1046357,10.0,0.0,0.0,0.0
mp-1046357,10.25,0.0,0.0,0.0
mp-1046357,10.5,0.0,0.0,0.0
mp-1046357,10.75,0.0,0.0,0.0
mp-1046357,11.0,0.0,0.0,0.0
mp-1046357,11.25,0.0,0.0,0.0
mp-1046357,11.5,0.0,0.0,0.0
mp-1046357,11.75,0.0,0.0,0.0
mp-1046357,12.0,0.0,0.0,0.0
mp-1046357,12.25,0.0,0.0,0.0
mp-1046357,12.5,0.0,0.0,0.0
mp-1046357,12.75,0.0,0.0,0.0
mp-1046357,13.0,0.0,0.0,0.0
mp-1046357,13.25,0.0,0.0,0.0
mp-1046357,13.5,0.0,0.0,0.0
mp-1046357,13.75,0.0,0.0,0.0
mp-1046357,14.0,0.0,0.0,0.0
mp-1046357,14.25,0.0,0.0,0.0
mp-1046357,14.5,0.0,0.0,0.0
mp-1046357,14.75,0.0,0.0,0.0
mp-1046357,15.0,0.0,0.0,0.0
