materialid,radius,elneg,vdw,polar
mp-1041461,2.0,0.052614,0.064423,0.090152
mp-1041461,2.25,0.060275,0.046628,0.078291
mp-1041461,2.5,0.269128,0.038094,0.18741
mp-1041461,2.75,0.181177,0.065656,0.126085
mp-1041461,3.0,0.325884,0.049929,0.20383
mp-1041461,3.25,0.231345,0.510684,0.298626
mp-1041461,3.5,0.231859,0.545778,0.309226
mp-1041461,3.75,0.263641,0.360144,0.299749
mp-1041461,4.0,0.270965,0.51771,0.334345
mp-1041461,4.25,0.407898,0.209572,0.404728
mp-1041461,4.5,0.332049,0.185524,0.336523
mp-1041461,4.75,0.263899,0.13535,0.238465
mp-1041461,5.0,0.334704,0.212068,0.277348
mp-1041461,5.25,0.24672,0.566232,0.262619
mp-1041461,5.5,0.164031,0.200118,0.17552
mp-1041461,5.75,0.120406,0.168026,0.159045
mp-1041461,6.0,0.058102,0.05703,0.068156
mp-1041461,6.25,0.038372,0.007391,0.030356
mp-1041461,6.5,0.0447,0.006147,0.036896
mp-1041461,6.75,0.050821,0.004485,0.035676
mp-1041461,7.0,0.02903,0.036774,0.028283
mp-1041461,7.25,0.022326,0.012204,0.018617
mp-1041461,7.5,5.7e-05,3.1e-05,5.5e-05
mp-1041461,7.75,0.0,0.0,0.0
mp-1041461,8.0,0.0,0.0,0.0
mp-1041461,8.25,0.0,0.0,0.0
mp-1041461,8.5,0.0,0.0,0.0
mp-1041461,8.75,0.0,0.0,0.0
mp-1041461,9.0,0.0,0.0,0.0
mp-1041461,9.25,0.0,0.0,0.0
mp-1041461,9.5,0.0,0.0,0.0
mp-1041461,9.75,0.0,0.0,0.0
mp-1041461,10.0,0.0,0.0,0.0
mp-1041461,10.25,0.0,0.0,0.0
mp-1041461,10.5,0.0,0.0,0.0
mp-1041461,10.75,0.0,0.0,0.0
mp-1041461,11.0,0.0,0.0,0.0
mp-1041461,11.25,0.0,0.0,0.0
mp-1041461,11.5,0.0,0.0,0.0
mp-1041461,11.75,0.0,0.0,0.0
mp-1041461,12.0,0.0,0.0,0.0
mp-1041461,12.25,0.0,0.0,0.0
mp-1041461,12.5,0.0,0.0,0.0
mp-1041461,12.75,0.0,0.0,0.0
mp-1041461,13.0,0.0,0.0,0.0
mp-1041461,13.25,0.0,0.0,0.0
mp-1041461,13.5,0.0,0.0,0.0
mp-1041461,13.75,0.0,0.0,0.0
mp-1041461,14.0,0.0,0.0,0.0
mp-1041461,14.25,0.0,0.0,0.0
mp-1041461,14.5,0.0,0.0,0.0
mp-1041461,14.75,0.0,0.0,0.0
mp-1041461,15.0,0.0,0.0,0.0
