materialid,radius,elneg,vdw,polar
mvc-5074,2.0,0.145933,0.055887,0.194358
mvc-5074,2.25,0.044486,0.017094,0.05968
mvc-5074,2.5,0.001287,3.1e-05,0.000627
mvc-5074,2.75,0.15907,0.015706,0.076472
mvc-5074,3.0,0.28756,0.34963,0.220888
mvc-5074,3.25,0.057411,0.033502,0.035728
mvc-5074,3.5,0.135792,0.55888,0.279402
mvc-5074,3.75,0.141391,0.206983,0.218286
mvc-5074,4.0,0.051501,0.00477,0.027416
mvc-5074,4.25,0.059928,0.000713,0.027585
mvc-5074,4.5,0.028787,0.010029,0.035945
mvc-5074,4.75,0.10295,0.03925,0.136637
mvc-5074,5.0,0.145076,0.024464,0.096294
mvc-5074,5.25,0.252174,0.181671,0.161403
mvc-5074,5.5,0.02668,0.175585,0.063082
mvc-5074,5.75,0.029545,0.045188,0.044099
mvc-5074,6.0,0.147938,0.255437,0.133478
mvc-5074,6.25,0.111986,0.072888,0.139062
mvc-5074,6.5,0.114982,0.040791,0.139211
mvc-5074,6.75,0.065676,0.077907,0.050993
mvc-5074,7.0,0.009252,0.004009,0.005252
mvc-5074,7.25,0.025583,0.000322,0.011816
mvc-5074,7.5,0.077094,0.018093,0.075879
mvc-5074,7.75,0.19327,0.05718,0.188322
mvc-5074,8.0,0.196892,0.208562,0.152858
mvc-5074,8.25,0.062492,0.191068,0.093801
mvc-5074,8.5,0.000554,0.003631,0.001359
mvc-5074,8.75,0.015778,0.001051,0.007455
mvc-5074,9.0,0.08925,0.096848,0.071004
mvc-5074,9.25,0.234881,0.50795,0.349084
mvc-5074,9.5,0.113603,0.064909,0.101019
mvc-5074,9.75,0.017675,0.000279,0.008195
mvc-5074,10.0,0.067356,0.000741,0.030864
mvc-5074,10.25,0.002119,0.000218,0.001425
mvc-5074,10.5,0.047555,0.017185,0.060744
mvc-5074,10.75,0.257494,0.082511,0.225768
mvc-5074,11.0,0.144274,0.181543,0.118672
mvc-5074,11.25,0.018677,0.020374,0.025413
mvc-5074,11.5,0.000297,0.000118,0.000394
mvc-5074,11.75,0.000592,0.000975,0.000522
mvc-5074,12.0,0.06909,0.11282,0.06486
mvc-5074,12.25,0.11039,0.067378,0.129845
mvc-5074,12.5,0.049348,0.043282,0.043312
mvc-5074,12.75,0.008604,0.000544,0.004067
mvc-5074,13.0,0.015344,0.000169,0.007031
mvc-5074,13.25,0.000179,2e-06,8.2e-05
mvc-5074,13.5,0.001945,0.00017,0.00093
mvc-5074,13.75,0.036851,0.043708,0.029633
mvc-5074,14.0,0.023059,0.105722,0.048865
mvc-5074,14.25,0.000353,0.002232,0.000884
mvc-5074,14.5,0.0,0.0,0.0
mvc-5074,14.75,0.0,0.0,0.0
mvc-5074,15.0,0.0,0.0,0.0
