mid,helvol,geomvol
mp-558004,0.000,132.060
mp-697815,0.000,152.906
mp-753843,0.000,34.848
mp-755201,20.928,45.483
mp-705436,10.816,323.073
mp-754679,0.000,24.688
mp-753116,0.023,60.392
mp-758057,0.000,51.905
mp-755215,0.000,36.826
mp-754123,0.000,32.456
mp-765498,0.000,46.860
mp-757358,0.002,52.135
mp-754889,0.000,69.456
mp-781078,0.000,88.333
mp-755229,0.538,63.306
mp-26835,11.697,167.369
mp-850774,24.594,224.973
mp-753128,0.000,6.187
mp-763955,0.565,39.019
mp-26823,0.000,103.924
mp-753896,0.000,45.507
mp-756736,0.000,34.339
mp-754135,0.902,135.167
mp-26837,0.000,116.759
mp-849541,0.000,96.886
mp-758041,0.000,68.362
mp-757366,0.000,43.887
mp-770901,0.001,83.923
mp-755571,0.000,33.191
mp-753100,0.000,44.033
mp-772125,0.000,55.832
mp-779070,0.000,45.894
mp-849596,2.538,161.621
mp-769505,0.007,102.999
mp-753855,0.000,53.249
mp-26638,0.107,170.255
mp-758914,0.038,118.074
mp-776357,0.479,144.209
mp-779064,0.000,40.292
mp-764753,0.000,30.121
mp-772131,5.007,52.424
mp-26162,1.154,88.837
mp-772119,0.000,46.637
mp-753869,0.000,45.815
mp-18932,0.416,87.336
mp-761171,0.000,57.716
mp-754874,0.000,51.305
mp-756534,0.000,44.143
mp-772482,0.000,53.477
mp-780614,0.805,119.762
mp-765840,0.000,50.672
mp-754445,0.071,56.292
mp-27081,0.000,209.034
mp-849757,0.001,140.643
mp-754451,0.066,89.425
mp-772496,0.004,84.830
mp-759613,0.005,57.976
mp-757170,0.000,49.460
mp-755767,0.190,44.911
mp-757164,0.000,20.311
mp-757602,0.000,49.816
mp-753464,0.000,38.350
mp-771148,0.000,47.265
mp-766434,0.087,109.017
mp-776627,0.384,161.978
mp-756291,0.000,26.684
mp-27042,0.000,29.030
mp-778178,0.738,123.267
mp-556229,0.000,41.079
mp-756285,0.002,57.969
mp-760051,0.653,140.950
mp-763558,0.000,29.965
mp-26406,0.000,33.722
mp-758280,0.086,67.294
mp-768357,0.000,73.740
mp-540477,1.141,59.491
mp-704299,59.750,600.602
mp-755968,0.000,42.883
mp-778622,0.000,77.472
mp-753538,0.000,25.454
mp-752626,0.000,46.156
mp-771941,0.329,125.481
mp-770493,0.000,24.521
mp-684506,0.849,384.430
mp-753504,0.567,61.351
mp-757004,0.000,43.153
mp-25906,26.126,329.533
mp-705024,18.972,137.190
mp-755607,0.000,26.460
mp-774811,0.000,68.524
mp-753276,0.000,7.001
mp-754519,0.610,47.611
mp-705030,3.540,178.024
mp-771969,0.000,51.638
mp-25912,37.867,278.356
mp-759983,0.519,132.848
mp-758445,0.010,102.727
mp-714883,0.000,26.348
mp-764357,0.003,52.602
mp-756483,0.329,72.753
mp-778018,0.231,429.386
mp-26228,0.000,79.025
mp-774622,0.000,48.321
