mid,helvol,geomvol
mvc-5112,0.000,25.813
mp-769657,0.000,28.294
mp-1044267,5.598,135.597
mp-765763,0.371,120.020
mp-1041066,0.000,96.015
mvc-4866,1.436,54.902
mp-1190609,0.000,39.641
mp-19574,4.986,134.406
mp-1048695,0.244,41.381
mp-1042060,0.000,34.509
mp-1046728,0.007,39.014
mvc-9231,0.000,131.856
mp-1043529,2.997,111.744
mvc-11581,0.000,36.675
mvc-12771,0.038,39.496
mvc-15888,0.000,5.691
mp-1043098,0.000,80.501
mp-1041840,0.000,74.073
mvc-15644,0.000,16.636
mvc-5115,0.000,28.162
mp-1043159,0.005,62.071
mvc-11093,0.000,34.624
mvc-10450,0.000,101.730
mp-32527,0.000,94.208
mvc-15495,0.000,19.599
mp-690058,1.953,102.162
mp-1043388,0.000,50.720
mvc-13203,0.000,73.422
mp-1045938,0.000,14.252
mvc-11086,0.134,70.198
mp-1041256,0.000,79.853
mvc-11600,7.968,22.606
mp-19003,0.000,64.975
mvc-6176,0.540,212.144
mp-558836,6.668,72.134
mvc-5367,0.000,35.203
mp-1045889,0.000,35.004
mp-1043432,2.061,137.462
mp-1047927,0.243,113.438
mp-770397,0.375,35.672
mp-1043183,0.000,20.924
mp-714969,1.907,60.026
mvc-6353,0.001,127.838
mvc-5570,0.000,46.281
mp-18900,0.000,31.533
mp-687212,0.000,85.719
mvc-13134,0.000,21.425
mvc-12276,0.224,230.309
mp-1047618,3.034,30.982
mp-25301,0.000,31.667
mvc-12592,0.000,27.243
mp-1048900,0.000,24.080
mp-1043826,0.150,222.704
mp-1046590,0.000,10.892
mp-1046724,0.000,30.615
mvc-12603,0.163,36.812
mvc-12231,0.944,39.686
mp-1043525,0.000,144.627
mvc-11142,0.001,35.072
mvc-10961,0.000,93.943
mp-1044309,2.894,111.011
mp-1043300,1.433,87.825
mp-1044052,0.049,68.510
mp-1042286,0.000,252.137
mp-1041097,0.015,121.180
mp-1041862,0.000,74.141
mp-1045833,0.000,56.836
mp-1042928,1.034,161.014
mvc-5119,0.000,31.533
mvc-4964,0.034,151.910
mp-1040886,0.000,90.406
mvc-14468,1.855,111.414
mp-1045982,0.000,34.899
mvc-15884,0.809,53.275
mp-1047643,2.474,26.382
mp-1044452,1.710,273.590
mp-714883,0.000,26.348
mvc-15182,3.232,123.848
mp-1043700,0.161,231.296
mvc-11637,0.145,107.377
mvc-11755,0.018,81.784
mp-540180,0.034,123.112
mp-1118049,0.000,31.738
mp-1040952,0.083,122.314
mp-1045788,0.045,98.956
mp-540321,0.141,62.314
mp-1046820,0.000,19.888
mvc-13940,0.000,38.340
mp-1043379,0.000,45.462
mp-1045826,0.000,51.325
mp-677217,0.020,58.910
mvc-14378,0.000,13.158
mvc-34,0.000,48.881
mp-1044823,0.000,165.955
mvc-12287,5.744,135.861
mp-1040910,0.000,101.417
mp-33325,0.022,153.294
mvc-13651,0.000,6.892
mp-540363,0.251,47.789
mp-1044853,0.006,110.033
mp-1042577,0.000,32.197
mvc-12638,0.000,26.962
mvc-5816,0.000,15.774
mvc-8414,0.000,91.153
mvc-5627,0.000,71.038
mp-1041845,0.000,78.594
mp-1042710,0.000,11.577
mp-1047285,0.000,39.868
mvc-11598,9.674,29.017
mp-1043013,0.006,89.551
mp-1047639,1.679,24.510
mvc-13445,0.000,8.331
mp-1041140,0.000,92.729
mvc-12615,0.004,82.739
mp-697788,0.003,105.092
mp-1041629,0.000,3.784
mvc-2078,0.000,22.896
mp-1045734,0.000,12.673
mvc-12122,0.000,144.782
mp-1047337,0.000,48.094
mp-1047808,0.000,77.916
mp-1041889,0.001,41.351
mp-1040982,0.003,141.792
mp-25519,0.000,6.357
mvc-4902,0.178,33.926
mvc-12627,0.001,38.793
mvc-11089,0.000,30.104
mvc-12657,0.049,52.794
mp-1044303,2.923,112.817
mp-1045937,0.000,25.300
mvc-13330,0.003,174.357
mp-1046283,0.000,40.148
mp-1044164,2.326,99.749
mp-1047928,0.014,103.472
mp-1040921,0.016,121.814
mvc-11138,0.000,0.000
mvc-12425,0.000,35.631
mvc-5134,0.000,25.318
mp-1043253,0.000,3.845
mp-1042608,0.000,24.593
mp-694636,0.146,57.254
mvc-11423,2.707,36.184
mp-1043564,1.566,100.070
mvc-12312,0.001,148.934
mp-1043406,0.383,216.710
mp-1043303,0.002,37.542
mvc-5456,0.000,132.052
mvc-11234,7.098,25.802
mp-19139,0.001,66.916
mvc-12953,0.014,62.133
mvc-11244,0.000,48.565
mvc-11986,0.000,36.492
mp-1045643,0.000,41.914
mvc-5692,0.001,51.481
mvc-5203,0.000,113.663
mvc-5485,0.011,111.843
mp-540000,0.004,26.884
mp-38816,0.006,62.815
mp-1042994,0.863,136.179
mp-1043526,0.000,146.642
mp-1047145,0.000,23.301
mvc-11658,0.000,26.513
mvc-14215,1.603,77.807
mvc-13841,0.000,17.984
mp-1043728,0.296,243.867
mp-1041000,0.000,96.041
mp-32343,0.226,118.806
mp-714944,0.000,8.224
mvc-12205,0.000,35.471
mp-779941,0.000,69.830
mvc-12012,0.000,29.787
mvc-2213,1.864,123.032
mp-1043180,0.000,23.279
mvc-12170,0.000,71.203
mp-1041583,0.000,4.000
mp-1041491,0.000,66.834
mp-1044910,0.864,151.001
mvc-2263,0.000,49.417
mp-1041928,0.000,18.908
mp-1041375,0.000,50.153
mp-1041470,0.000,137.435
mp-773444,0.000,100.648
mvc-12083,0.000,28.528
mp-1042331,0.000,246.509
mp-1047659,0.000,3.951
mvc-3736,0.000,62.848
mvc-11380,3.659,276.367
mp-765928,0.038,141.526
mp-1043685,5.944,111.351
mp-1044382,5.910,131.679
mvc-13642,1.397,62.510
mp-1045724,0.000,12.984
mvc-11241,8.720,26.308
mp-540262,0.082,56.917
mp-1044937,0.000,98.470
mp-1044208,0.055,50.942
mvc-6377,0.524,226.681
mp-1048245,0.000,89.293
mp-1043363,0.000,45.579
mp-1041196,0.486,122.103
mvc-5074,0.034,144.631
mvc-12565,0.000,24.115
mp-1043595,0.000,144.672
mp-19202,0.821,41.807
mp-1048235,3.443,88.132
mvc-5116,0.000,27.564
mvc-14055,0.000,38.781
mp-1041465,0.000,131.807
mvc-12610,0.000,39.892
mp-1045970,0.000,34.924
mvc-91,0.005,74.962
mp-1040938,0.000,116.298
mp-1048924,0.954,148.231
mp-1047047,1.041,140.678
mp-1043960,2.997,101.096
mp-1046562,0.000,3.928
mp-763405,0.000,24.931
mp-1045773,0.013,81.235
mvc-3950,0.000,22.550
mp-1042695,0.000,43.747
mp-1043448,2.271,94.817
mvc-13181,0.004,151.081
mp-1040954,0.000,127.982
mp-1048889,0.000,29.698
mp-1047075,0.197,77.961
mp-1048259,2.977,84.957
mp-504100,0.000,23.842
mvc-5548,0.000,105.733
