Battid,Stability Discharge,Stability Charge,energy,energy_dis,energy_per_atom,energy_per_atom_dis,band_gap,band_gap_dis,density,density_dis,total_magnetization,total_magnetization_dis,nsites,nsites_dis,elasticity,elasticity_dis,volume,volume_dis,helvol,geomvol,helvol_dis,geomvol_dis,vf_geomvol,vf_geomvol_dis,vf_helvol,vf_helvol_dis,Capacity_Grav
mp-300559117,0.006613,0.238947,-56.389857,-47.887592,-5.638986,-5.985949,1.4213,0.0,3.066794,3.00824,5.0,4.0,10,8,3.066794,3.00824,144.001901,139.142014,4.201,50.246,0.001,43.201,0,0,0,0,201.551055
mp-300019667,0.0,0.045596,-209.71275,-195.590431,-6.553523,-6.519681,3.9702,0.0,3.582111,3.497278,4.0,4.980091,32,30,3.582111,3.497278,349.752952,351.645471,0.0,44.853,0.0,33.905,0,0,0,0,71.045656
mp-300770684,0.048662,0.07212,-198.818887,-176.351573,-7.100675,-7.347982,0.2768,0.0,4.242025,4.120239,5.0,1.999987,28,24,4.242025,4.120239,273.906392,270.813072,0.0,36.108,0.0,30.814,0,0,0,0,153.211912
mp-300004226,0.0,0.049104,-23.78219,-19.493459,-5.945547,-6.49782,0.658,0.0,3.206621,3.360891,3.0,2.013606,4,3,3.206621,3.360891,63.729932,57.375239,0.765,21.038,0.0,16.995,0,0,0,0,217.779426
mp-300684028,0.048615,0.063744,-270.992155,-252.193966,-6.452194,-6.466512,3.7498,0.1671,4.375314,4.08266,0.0,0.333333,42,39,4.375314,4.08266,477.911895,503.700287,5.986,111.791,0.0,57.605,0,0,0,0,63.851649
mp-300031970,0.010691,0.080904,-200.80311,-176.148646,-7.17154,-7.339527,3.4406,1.0758,2.817744,2.973431,5.0,4.0,28,24,2.817744,2.973431,369.737297,334.872934,0.0,88.502,0.003,113.386,0,0,0,0,170.87289
mp-300767175,0.042002,0.096961,-143.301929,-136.406591,-6.823901,-6.82033,0.6348,0.3381,2.489283,2.577533,4.999995,2.0,21,20,2.489283,2.577533,252.638029,239.516533,0.455,52.694,0.004,79.401,0,0,0,0,138.988052
mp-300769821,0.098911,0.053868,-141.783317,-120.617864,-6.444696,-6.700992,0.3293,0.0,3.955848,4.080138,15.999999,13.996432,22,18,3.955848,4.080138,234.227706,215.793178,0.333,49.872,0.011,59.025,0,0,0,0,192.127723
mp-300779753,0.030331,0.001056,-209.177144,-199.372985,-6.152269,-6.230406,1.3015,1.5875,3.296649,3.275367,8.00019,6.999813,34,32,3.296649,3.275367,438.91737,434.731466,0.239,133.68,0.001,120.702,0,0,0,0,61.515192
mp-300773195,0.116778,0.035278,-176.954075,-159.185656,-6.319788,-6.632736,2.1142,2.7157,3.789696,4.146332,1.999991,2.0,28,24,3.789696,4.146332,334.087039,294.232388,0.0,38.25,0.0,30.068,0,0,0,0,140.606008
mp-300761399,0.05545,0.081202,-198.296162,-189.092419,-7.082006,-7.272785,2.6133,0.0,2.8104,2.572687,4.0,7.0,28,26,2.8104,2.572687,363.750407,388.40025,3.139,131.625,0.0,94.185,0,0,0,0,87.069554
mp-300540248,0.031925,0.117512,-174.700939,-147.772075,-6.239319,-6.15717,3.4881,1.1859,3.139866,2.971936,2.0,3.0,28,24,3.139866,2.971936,339.749701,343.434459,0.001,103.03,0.0,83.365,0,0,0,0,166.877465
mp-300504134,0.027408,0.045343,-458.478565,-432.190575,-6.367758,-6.355744,3.7147,0.0314,3.681945,3.626871,5.961759,4.999983,72,68,3.681945,3.626871,815.283379,814.951852,1.888,152.175,0.006,140.913,0,0,0,0,59.303727
mp-300777675,0.076016,0.044271,-141.949774,-126.906552,-7.097489,-7.465091,1.2234,1.3338,3.048153,2.930841,4.0,1.0,20,17,3.048153,2.930841,254.692206,253.088919,0.066,89.425,0.0,69.333,0,0,0,0,171.979551
mp-300025576,0.007409,0.234657,-96.317166,-86.17896,-6.879798,-7.18158,1.4749,1.3854,4.835121,4.62462,5.0,2.000048,14,12,4.835121,4.62462,180.521045,183.753351,1.907,60.026,0.085,57.666,0,0,0,0,101.977114
mp-300779822,0.08674,0.001354,-234.058239,-205.049916,-6.159427,-6.40781,1.1444,1.3746,3.363562,3.302926,8.001138,5.000371,38,32,3.363562,3.302926,437.970235,425.073124,0.002,124.334,0.264,88.689,0,0,0,0,181.265492
mp-300761344,0.043929,0.067973,-317.867279,-294.364507,-7.224256,-7.359113,1.9607,1.3518,2.771232,2.696786,2.000002,1.000001,44,40,2.771232,2.696786,555.645691,553.889026,18.972,137.19,22.223,127.335,0,0,0,0,224.499216
mp-300755414,0.019706,0.022006,-87.355891,-79.664213,-6.239707,-6.638684,0.0,0.0,2.918954,3.15161,0.400211,0.0,14,12,2.918954,3.15161,262.749333,236.038566,0.005,71.03,6.539,76.859,0,0,0,0,225.339945
mp-300761674,0.028896,0.057203,-164.179817,-139.667007,-5.863565,-5.819459,0.5583,0.0,5.414397,5.572426,0.0,2.0,28,24,5.414397,5.572426,270.154712,254.219924,0.0,41.946,0.0,33.769,0,0,0,0,121.704105
mp-300504315,0.037453,0.023164,-569.524088,-561.132155,-7.493738,-7.582867,2.5743,0.0,3.301843,3.339644,18.000002,17.000004,76,74,3.301843,3.339644,918.713054,901.411634,2.313,173.071,0.014,170.983,0,0,0,0,29.342806
mp-300764236,0.042208,0.086607,-241.198497,-455.713335,-6.699958,-6.701667,0.9526,0.0,3.288949,3.201168,3.0,5.000878,36,68,3.288949,3.201168,324.797712,653.006308,0.0,46.436,0.0,0.0,0,0,0,0,83.323566
mp-300765930,0.084324,0.038726,-116.586243,-101.340868,-5.829312,-5.961228,0.0,1.8058,5.614727,6.175441,3.4e-05,0.0,20,17,5.614727,6.175441,230.84737,204.28787,0.083,40.347,0.075,48.093,0,0,0,0,103.009092
mp-300773275,0.105751,0.082895,-117.639702,-114.506116,-7.352481,-7.633741,0.0,0.0,3.939173,3.837015,0.002383,1.230435,16,15,3.939173,3.837015,148.112505,149.052085,0.823,47.271,0.254,45.139,0,0,0,0,76.280068
mp-300763014,0.056187,0.023874,-168.201927,-141.164223,-5.25631,-5.041579,1.838,1.9944,2.662232,2.839091,4.0,3.0,32,28,2.662232,2.839091,408.704165,367.005541,0.0,92.625,0.0,94.53,0,0,0,0,313.920959
mp-300771529,0.102497,0.057331,-108.438898,-91.42127,-6.777431,-7.618439,0.9377,1.0783,3.142285,2.266816,10.000003,6.000004,16,12,3.142285,2.266816,192.102873,245.956792,2.085,116.42,0.0,42.263,0,0,0,0,294.909262
mp-300777018,0.024085,0.05358,-71.986814,-122.248012,-5.141915,-5.093667,3.6858,3.1167,3.090081,3.158167,4.0,5.0,14,24,3.090081,3.158167,156.613862,291.876828,0.0,55.403,0.0,26.682,0,0,0,0,183.923755
mp-300773211,0.035648,0.100287,-174.373468,-161.670671,-6.706672,-6.736278,2.5391,0.0,2.792322,2.643153,5.0,4.0,26,24,2.792322,2.643153,272.07814,278.711866,0.0,47.033,0.0,28.341,0,0,0,0,117.159828
mp-300765811,0.06972,0.081903,-175.992019,-153.553821,-6.285429,-6.398076,1.9733,0.0,3.807877,3.945881,2.0,4.0,28,24,3.807877,3.945881,306.319866,283.922705,0.0,33.272,0.0,44.033,0,0,0,0,152.619417
mp-300774353,0.042003,0.063846,-71.078059,-196.475095,-5.923172,-5.953791,0.0,0.4799,4.345828,4.242343,3.0,2.0,12,33,4.345828,4.242343,107.78006,323.076952,0.0,56.703,20.481,45.951,0,0,0,0,95.016054
mp-300772250,0.028921,0.069185,-76.48189,-66.337982,-5.098793,-5.102922,0.3296,0.0,2.668403,2.574948,4.0,2.0,15,13,2.668403,2.574948,129.045326,124.77663,0.0,34.937,0.0,23.744,0,0,0,0,258.490234
mp-300767205,0.073679,0.013755,-148.477159,-120.970784,-5.302756,-5.040449,2.0427,2.2695,2.668489,2.730657,8.000015,6.000003,28,24,2.668489,2.730657,375.462876,350.031317,0.846,138.012,0.902,135.167,0,0,0,0,177.678753
mp-300018932,0.0,0.089455,-178.989595,-165.272418,-7.4579,-7.512383,3.616,0.0462,6.49231,6.246962,0.0,1.0,24,22,6.49231,6.246962,329.188384,338.427101,7.291,124.32,0.416,87.336,0,0,0,0,41.648002
