mid,helvol,geomvol
mvc-3752,389.976,258.960
mp-1041464,1429.121,465.185
mp-1043783,1276.459,438.426
mvc-5586,378.201,228.743
mp-1047628,894.455,376.201
mp-1045786,1337.317,420.078
mvc-9678,6584.312,740.606
mp-1042772,2019.485,550.052
mp-1041401,2099.272,726.608
mvc-13536,116.035,147.782
mp-558132,109.699,130.251
mp-1045420,323.678,239.375
mp-1046203,543.582,306.831
mvc-14334,172.194,171.864
mp-1041395,1221.969,514.115
mvc-13960,118.806,144.137
mp-1041638,1840.307,618.623
mp-1045694,212.290,214.540
mvc-78,294.033,227.781
mp-1040902,2128.573,616.225
mp-1042045,877.233,520.512
mp-714929,44.547,58.607
mp-25476,20.984,59.042
mp-1042943,251.522,225.556
mp-1043493,341.088,205.184
mp-1045828,1354.112,430.864
mp-1043215,4361.150,681.556
mp-1041071,2091.322,585.903
mvc-4871,333.188,202.072
mvc-12204,608.652,439.164
mvc-3347,244.983,200.212
mp-1041768,3148.125,844.417
mp-1041443,597.960,378.789
mvc-12366,115.191,146.911
mp-1041001,2547.760,662.432
mp-1041687,542.104,331.197
mp-1046983,428.522,295.254
mp-1044873,6269.089,898.742
mvc-5140,327.308,203.411
mvc-14553,7.596,43.828
mvc-8434,1355.441,453.212
mp-1041374,574.686,334.408
mp-1044455,1136.414,622.488
mvc-5659,786.520,323.234
mvc-15991,136.542,152.930
mp-1040930,3250.568,737.804
mvc-6713,1833.156,650.018
mp-1043372,7966.631,775.692
mvc-14034,158.860,163.202
mp-32442,1698.622,455.816
mvc-5801,29.247,59.373
mp-689964,1795.406,520.513
mvc-12466,461.677,323.472
mp-1116784,117.543,121.541
mp-1046697,190.144,164.953
mvc-12952,234.947,211.645
mp-1043652,6879.524,833.226
mvc-1,234.088,188.118
mvc-4715,964.900,583.705
mp-1041993,136.916,164.511
mp-32432,113.291,134.344
mvc-11572,222.070,174.328
mvc-5310,940.352,573.758
mvc-11309,520.955,363.552
mp-1118394,143.452,158.376
mp-1043077,231.434,206.333
mp-1046644,464.432,301.574
mp-1041282,941.719,542.951
mp-1047380,207.031,170.945
mp-1047920,1581.691,531.416
mp-1044247,3878.024,696.694
mp-1045783,1381.883,441.648
mp-1046949,458.830,316.673
mp-1042609,14939.956,1125.027
mvc-12174,1765.120,593.346
mp-1044170,606.684,313.751
mp-1041213,2055.549,560.616
mp-774537,1287.228,430.300
mp-1047641,124.566,127.517
mp-32394,1750.062,491.403
mp-25523,1230.847,411.499
mp-1048266,2015.337,507.232
mvc-5145,286.991,196.196
mp-1041166,684.181,422.110
mp-1041004,755.921,441.440
mp-1046192,8006.690,744.988
mvc-5760,900.175,418.434
mvc-5322,469.681,248.129
mp-1042581,208.522,180.698
mp-1046764,525.232,301.586
mvc-12580,152.022,141.965
mp-25595,69.713,109.623
mvc-3987,248.834,184.735
mp-1047865,1360.546,445.739
mp-1041708,1834.094,617.786
mp-25633,267.833,189.797
mp-1044622,863.895,458.659
mp-1043219,254.685,223.617
mvc-8271,2871.364,634.741
mvc-4650,1457.805,612.042
mp-510748,231.693,219.510
mvc-5032,1332.943,604.461
mvc-12111,355.434,266.536
mvc-9896,1664.590,508.554
mp-1042691,242.448,199.050
mvc-8438,1528.112,467.979
mp-1043619,2628.604,671.311
mp-19541,12582.926,796.489
mp-1041461,1484.161,470.541
mp-1046138,2404.651,664.132
mp-31998,1260.353,434.647
mp-772325,1211.165,411.740
mp-1043062,190.372,189.273
mp-1045679,455.236,302.805
