Battid,Discharged_ID,Charged_ID,Reduced_Cell_Formula,Type,Spacegroup,Average_Voltage,Capacity_Grav,Capacity_Vol,Specific_E_Wh/kg,E Density Wh/l,Stability Charge,Stability Discharge,helvol,geomvol,helvol_dis,geomvol_dis
mvc-1200009917,mp-1048838,mvc-12204,Mg0 –0.5FeO2,intercalation,P3m1,3.86,268,1137,1034,4384,0.24,0.01,0.0,119.772,0.0,102.829
mvc-1200007990,mp-1042809,mp-1042861,Mg0 –1FeAs2O7,intercalation,P21/c,3.75,157,623,587,2335,0.12,0.01,5.462999999999999,183.77900000000002,0.511,138.065
mvc-1200001224,mp-1048245,mp-32442,Mg0 –1VP2O7,intercalation,P21/c,2.73,215,694,587,1894,0.11,0.01,0.0,74.116,0.0,90.43799999999999
mvc-1200001258,mp-1048266,mp-540430,Mg0 –1CrP2O7,intercalation,P21/c,3.26,214,679,699,2218,0.11,0.01,2.5380000000000003,80.222,2.895,110.631
mvc-1200006952,mp-1042026,mp-694636,Mg0 –1MnP2O7,intercalation,P1,3.82,212,690,809,2638,0.09,0.01,0.113,53.675,0.0,42.50899999999999
mvc-1200002205,mp-1045788,mp-687212,MgCr(PO3)4,intercalation,C2/c,3.59,137,396,490,1422,0.07,0.01,0.0,90.70200000000001,0.001,98.956
mvc-1200006885,mp-1041887,mvc-7342,Mg0 –1Si2NiO6,intercalation,Pcab,4.33,228,820,987,3552,0.28,0.01,0.0,243.81799999999998,0.0,80.232
mvc-1200008356,mp-1043243,mp-1043444,MgNi(GeO3)2,intercalation,P21/c,4.24,165,774,702,3286,0.22,0.01,0.0,83.681,0.0,43.805
mvc-1200016575,mp-25139,mvc-13124,Mg1.5 –2VBiO6,intercalation,Ccmm,4.48,66,320,297,1433,0.17,0.01,0.042,76.682,0.001,72.589
mvc-1200007992,mp-1042817,mp-1042747,Mg0 –1NiAs2O7,intercalation,P21/c,4.64,155,644,722,2992,0.26,0.01,1.681,174.542,0.284,138.644
mvc-1200005948,mp-27872,mp-25262,Mg0 –0.5TiO2,intercalation,Fd3m,1.31,291,1141,381,1492,0.18,0.01,0.0,38.455,0.57,37.516
mvc-1200008596,mp-1043530,mp-1044639,MgFe(GeO3)2,intercalation,P21/c,3.33,167,738,556,2459,0.12,0.01,0.0,77.046,0.0,54.88
mvc-1200002201,mp-1045783,mp-31998,MgMn(PO3)4,intercalation,C2/c,4.3,136,391,584,1684,0.06,0.01,0.052000000000000005,108.961,0.002,92.212
mvc-1200010040,mp-1040870,mp-1040930,Mg0 –1Mo2P2O9,intercalation,Pmcn,2.01,127,500,255,1006,0.03,0.02,0.377,195.546,0.0,131.875
mvc-1200566620,mp-566620,mvc-12122,Mg0 –0.5VCuO4,intercalation,P21/c,3.83,141,552,539,2117,0.12,0.02,0.0,144.782,0.0,107.499
mvc-1200010032,mp-1040938,mvc-13203,Mg0 –0.5CoO2,intercalation,P3m1,3.34,260,1309,868,4371,0.08,0.02,0.0,71.354,0.0,107.25200000000001
mvc-1200010106,mp-1040943,mvc-5548,Mg0 –0.5VO2,intercalation,P3m1,2.47,282,1131,696,2792,0.16,0.02,0.0,108.376,0.0,99.854
mvc-1200010142,mvc-15456,mvc-15135,Mg0 –0.5FeO2,intercalation,P3m1,3.87,268,1134,1038,4392,0.26,0.02,0.002,111.102,0.0,32.336
