Battid,Discharged_ID,Charged_ID,Reduced_Cell_Formula,Type,Spacegroup,Average_Voltage,Capacity_Grav,Capacity_Vol,Specific_E_Wh/kg,E Density Wh/l,Stability Charge,Stability Discharge,helvol,geomvol,helvol_dis,geomvol_dis
mvc-1200008664,mvc-14220,mvc-14217,MgFe(Si2O5)2,intercalation,P4/ncc,3.45,152,445,525,1534,0.19,0.06,2.658,93.861,4.573,82.51700000000001
mvc-1200000867,mp-1043564,mp-540500,MgCo3(P2O7)2,intercalation,P21/c,3.09,98,364,302,1124,0.03,0.06,0.001,116.20700000000001,1.665,102.29299999999999
mvc-1200000857,mp-1043564,mp-540500,MgV3(P2O7)2,intercalation,P21/c,1.28,102,348,130,444,0.02,0.07,0.001,116.20700000000001,1.665,102.29299999999999
mvc-1200008321,mvc-5203,mvc-5466,MgCr4(CuO4)3,intercalation,Im3,2.7,87,451,236,1219,0.03,0.07,0.0,115.594,0.0,107.834
mvc-1200003750,mp-1043098,mp-1043595,Mg0 –1MoF5,intercalation,P21/c,3.29,249,877,819,2886,0.05,0.07,0.0,144.672,0.0,80.501
mvc-1200012895,mp-1045982,mvc-12205,Mg0 –0.5NiO2,intercalation,Pnmm,3.11,261,1250,811,3891,0.09,0.07,0.001,47.295,0.0,31.021
mvc-1200008645,mp-1043529,mp-694554,MgCo(Si2O5)2,intercalation,P4/ncc,3.33,151,450,502,1500,0.16,0.07,0.175,134.813,2.97,110.56700000000001
mvc-1200004981,mvc-4650,mvc-4715,Mg0 –2CrWO6,intercalation,P21/c,3.07,282,1687,865,5178,0.23,0.07,0.009000000000000001,172.595,0.228,135.208
mvc-1200011618,mp-1042977,mp-1043373,Mg0 –0.5CoO2,intercalation,Pnmm,3.0,260,1299,779,3890,0.02,0.07,0.004,50.675,0.055,71.199
mvc-1200002315,mp-1043548,mp-1043700,Mg0 –2Ni9O13,intercalation,C2/m,3.76,137,781,513,2935,0.2,0.07,0.161,231.296,0.0,143.719
mvc-1200000880,mp-1043704,mp-540180,MgCr3(P2O7)2,intercalation,P21/c,1.58,101,338,161,534,0.04,0.07,0.006999999999999999,123.11200000000001,0.0,120.90799999999999
mvc-1200008078,mp-1042940,mp-1042928,MgFe2(MoO4)3,intercalation,P1,2.89,128,483,370,1395,0.17,0.07,0.9540000000000001,151.35299999999998,12.989,198.58900000000003
mvc-1200008311,mp-1043062,mp-1043303,MgFe4(CuO4)3,intercalation,Im3,3.11,85,436,265,1358,0.07,0.07,0.0,35.333,0.0,29.046999999999997
mvc-1200010150,mp-1041004,mp-1040967,Mg0 –0.5CrO2,intercalation,P3m1,3.31,279,1162,922,3843,0.19,0.08,0.001,107.72399999999999,0.0,106.38600000000001
mvc-1200000838,mp-1043253,mvc-12005,Mg0 –0.5Fe2O3,intercalation,Cmcm,2.58,156,777,402,2001,0.25,0.08,0.0,42.333,0.0,19.226
mvc-1200000321,mp-1046590,mp-1046793,Mg0 –0.5Ti2O3,intercalation,Cmcm,0.75,172,814,128,606,0.13,0.08,0.0,38.287,0.0,10.892000000000001
mvc-1200008926,mp-1043837,mp-1043703,MgTiSb(PO4)3,intercalation,R3c,1.88,112,393,211,740,0.0,0.08,3.134,144.037,1.003,102.905
mvc-1200008320,mp-1040910,mp-1043067,MgCo4(CuO4)3,intercalation,Im3,2.93,83,496,244,1452,0.06,0.08,0.001,28.278000000000002,0.0,109.286
mvc-1200008322,mp-1043121,mvc-12083,MgMn4(CuO4)3,intercalation,Im3,2.72,86,450,232,1222,0.05,0.08,0.0,27.636999999999997,0.0,25.808000000000003
mvc-1200007843,mvc-12083,mp-1042629,Mg0 –1BiMoO5,intercalation,Pcab,3.12,131,806,409,2518,0.22,0.08,2.08,465.935,0.0,27.636999999999997
mvc-1200000078,mvc-78,mvc-11244,Mg0 –0.5CoS2,intercalation,Fd3m,1.42,198,755,281,1072,0.1,0.08,0.0,45.763000000000005,0.0,54.982
mvc-1200006914,mvc-11244,mvc-13696,Mg0 –0.5NiO2,intercalation,Ibmm,3.6,261,1254,939,4519,0.27,0.08,0.0,31.538,0.0,45.763000000000005
mvc-1200003281,mvc-13696,mp-1046704,Mg0 –1VPO5,intercalation,P1,2.4,288,991,692,2382,0.01,0.08,10.792,56.975,0.0,31.538
mvc-1200012117,mvc-12117,mvc-5816,Mg0 –0.5CoO2,intercalation,Pmnb,2.95,260,1445,768,4271,0.03,0.08,0.0,15.774000000000001,0.0,0.0
mvc-1200008280,mp-1043103,mp-1043619,Mg0 –1FeNiP2O9,intercalation,Pmcn,4.15,155,554,645,2297,0.18,0.08,0.002,143.852,0.0,89.84299999999999
mvc-1200010447,mp-1041375,mvc-10961,Mg0 –1V4O9,intercalation,P4/n,2.83,144,518,408,1469,0.13,0.09,0.0,93.943,0.0,50.153
mvc-1200001904,mvc-10961,mp-1045643,Mg0 –2Ti9O13,intercalation,C2/m,0.72,156,746,113,540,0.14,0.09,0.004,34.929,0.0,93.943
mvc-1200012394,mvc-12394,mvc-12466,Mg0 –0.5TiO2,intercalation,Pnmm,0.96,291,1161,279,1114,0.15,0.09,0.004,84.845,0.0,22.084
mvc-1200008653,mp-1043519,mp-1043652,MgV(Si2O5)2,intercalation,P4/ncc,2.06,154,442,318,911,0.16,0.09,0.342,228.949,0.0,143.341
mvc-1200008341,mp-1043183,mp-1043320,MgCu3(NiO3)4,intercalation,Im3,3.32,84,474,277,1572,0.1,0.09,0.0,29.465,0.0,20.924
mvc-1200005026,mvc-5026,mp-1117059,Mg0 –1WO3,intercalation,Pbnm,1.59,209,1566,332,2483,0.0,0.09,0.012,45.898,0.0,20.784000000000002
mvc-1200009041,mp-1117059,mp-1044170,Mg0 –0.5CrPO5,intercalation,Fddd,3.82,153,553,584,2111,0.13,0.09,1.729,80.40899999999999,0.012,45.898
mvc-1200000786,mp-1042648,mp-1043363,Mg0 –0.5Mn2O3,intercalation,Cmcm,2.78,158,744,438,2064,0.22,0.09,0.0,44.44,0.0,31.004
mvc-1200015888,mvc-15888,mp-1045734,Mg0.5 –1VO3,intercalation,Pbnm,2.47,217,894,537,2209,0.1,0.09,0.0,12.673,0.0,5.691
mvc-1200015888,mvc-15888,mp-1045734,Mg0.5 –1VO3,intercalation,Pbnm,2.47,217,894,537,2209,0.1,0.09,0.0,12.673,0.0,5.691
mvc-1200000457,mp-1046958,mp-1047057,MgSn3(P2O7)2,intercalation,P21/c,1.39,74,288,102,399,0.03,0.09,0.429,177.222,0.0,119.536
mvc-1200002276,mp-1045866,mp-1045833,Mg0 –2Mn9O13,intercalation,P1,2.76,143,673,394,1860,0.22,0.09,0.0,52.378,0.0,45.303999999999995
mvc-1200003394,mp-1046728,mvc-2979,Mg0 –1MnF4,intercalation,P1,4.77,345,1296,1646,6178,0.32,0.09,0.903,56.05,0.048,37.866
mvc-1200006406,mp-1047659,mvc-14931,Mg0 –0.5MnO2,intercalation,Cmcm,3.06,270,1258,829,3853,0.2,0.09,0.0,47.519,0.0,7.901
mvc-1200008859,mp-1043716,mp-1043783,Mg0 –1Bi2O5,intercalation,P21/c,3.43,103,673,352,2304,0.2,0.1,0.0,93.844,0.336,109.934
mvc-1200011960,mvc-11960,mp-1048695,Mg0.5 –1V2O5,intercalation,Pmnm,2.31,130,456,300,1052,0.09,0.1,0.245,41.381,0.0,30.889
mvc-1200011960,mvc-11960,mp-1048695,Mg0 –1V2O5,intercalation,Pmnm,2.22,260,912,578,2027,0.0,0.1,0.245,41.381,0.0,30.889
mvc-1200006601,mp-1041583,mp-1047618,Mg0 –0.5VO2,intercalation,Pcmb,2.18,282,1243,614,2709,0.15,0.1,1.982,38.728,0.0,4.0
mvc-1200010450,mvc-10450,mp-1041470,Mg0 –0.5CrCuO4,intercalation,P21/c,2.92,140,553,409,1616,0.05,0.1,0.0,138.98,0.0,103.24799999999999
mvc-1200000314,mp-1046562,mp-1046820,Mg0 –0.5Cu2O3,intercalation,Cmcm,3.34,143,837,478,2796,0.17,0.1,0.0,23.866,0.0,7.856
mvc-1200007833,mp-1042618,mp-1042644,Mg0 –1CrBiO5,intercalation,Pcab,3.28,147,827,481,2714,0.15,0.1,3.3569999999999998,416.602,0.0,101.334
mvc-1200010170,mp-1042644,mp-1040999,Mg0 –0.5CuTeO4,intercalation,P21/c,3.34,100,481,335,1609,0.19,0.1,0.0,157.306,3.3569999999999998,416.602
mvc-1200032432,mp-32432,mvc-11986,Mg1.5 –2VO4,intercalation,Fd3m,1.46,164,588,239,860,0.02,0.1,0.0,36.492,0.0,30.258000000000003
mvc-1200032432,mp-32432,mvc-11986,Mg1.5 –2VO4,intercalation,Fd3m,1.46,164,588,239,860,0.02,0.1,0.0,36.492,0.0,30.258000000000003
mvc-1200015870,mvc-15870,mvc-15798,Mg0 –1BiF5,intercalation,Cc,4.59,163,748,750,3435,0.01,0.1,4.285,89.132,12.71,91.795
mvc-1200003248,mp-1046669,mp-1046697,Mg0 –1CrSiO5,intercalation,C2/c,3.57,291,1043,1037,3723,0.23,0.1,0.509,39.21,0.039,26.915
mvc-1200003716,mvc-3716,mvc-13642,Mg0 –1VF4,intercalation,P1,3.31,354,1215,1174,4024,0.35,0.1,1.537,53.394,0.011000000000000001,42.733000000000004
mvc-1200001926,mvc-13642,mp-1045694,Mg0 –2Cu9O13,intercalation,C2/m,3.32,129,765,430,2541,0.17,0.1,0.0,10.550999999999998,1.537,53.394
mvc-1200003244,mp-1046666,mp-1046724,Mg0 –1CrPO5,intercalation,C2/c,3.17,286,1011,909,3209,0.05,0.11,0.0,31.344,0.001,32.819
mvc-1200005565,mvc-5565,mvc-5643,Mg0 –1CrAsO5,intercalation,P212121,3.5,232,897,812,3141,0.17,0.11,0.0,44.23,0.0,43.744
mvc-1200014224,mvc-14224,mvc-14167,Mg0 –1WF5,intercalation,C2/c,2.54,177,871,448,2209,0.02,0.11,7.182,92.18,4.465,81.751
mvc-1200007826,mvc-7826,mp-1042994,MgCr3(FeO6)2,intercalation,P1,2.66,162,561,432,1496,0.03,0.11,0.129,120.072,0.0,106.15799999999999
mvc-1200019573,mp-1042994,mvc-13578,MgV2(SiO4)3,intercalation,Ia3d,2.57,238,862,611,2214,0.2,0.11,2.147,125.075,0.129,120.072
mvc-1200014048,mvc-14048,mvc-12727,Mg0 –0.5VS2,intercalation,I41/amd,1.12,211,663,236,742,0.07,0.11,0.0,39.847,8.432,94.016
mvc-1200007987,mvc-12727,mp-1042860,MgFe2(WO4)3,intercalation,P1,2.13,90,477,192,1017,0.12,0.11,1.177,153.61,0.0,39.847
mvc-1200015495,mvc-15495,mvc-13706,Mg0 –2Cr3O8,intercalation,C2/m,3.78,322,1277,1218,4825,0.34,0.11,0.0,42.606,0.0,32.664
mvc-1200008325,mp-1043180,mvc-11840,MgV4(CuO4)3,intercalation,Im3,2.21,88,447,194,988,0.08,0.11,0.0,28.355,0.0,24.386999999999997
mvc-1200019541,mp-19541,mvc-11375,MgMn2(SiO4)3,intercalation,Ia3d,2.74,117,433,320,1186,0.11,0.11,1.515,121.637,4.524,121.205
mvc-1200011289,mvc-11289,mvc-11233,Mg0 –0.25CoS2,intercalation,R3m,1.4,104,390,145,545,0.12,0.11,8.373,24.748,0.052000000000000005,67.857
mvc-1200003748,mvc-3748,mvc-3816,Mg0 –1WF5,intercalation,P21/c,2.52,177,869,445,2187,0.02,0.11,0.107,137.385,0.159,113.095
mvc-1200012111,mvc-12111,mp-1190609,Mg0 –0.5VO2,intercalation,Pmnb,1.93,282,1240,544,2393,0.09,0.11,0.0,39.641,0.0,13.668
mvc-1200006623,mp-1041768,mp-1041777,Mg0 –1Cr2CuO7,intercalation,P2/c,3.0,176,645,529,1934,0.05,0.11,0.777,379.782,0.0,167.042
mvc-1200009993,mp-1048889,mvc-14589,Mg0 –0.5CrO2,intercalation,R3m,3.2,279,1164,892,3725,0.19,0.12,0.0,29.296,0.0,27.65
mvc-1200005221,mvc-14589,mvc-5236,Mg0 –0.5SnO2,intercalation,Cm,1.91,165,884,314,1684,0.26,0.12,0.0,98.729,0.0,29.296
mvc-1200015844,mvc-15844,mvc-14697,Mg0 –1SbF5,intercalation,C2/c,2.97,222,792,661,2353,0.0,0.12,3.464,82.902,12.927999999999999,84.787
mvc-1200006401,mp-1047641,mp-1047643,Mg0 –0.5CrO2,intercalation,Cmcm,3.15,279,1288,878,4057,0.18,0.12,1.4769999999999999,37.689,0.0,7.728
mvc-1200012366,mvc-12366,mvc-11600,Mg0 –0.25TiO2,intercalation,R3m,1.11,156,579,173,644,0.15,0.12,8.5,22.448,0.0,33.311
mvc-1200012952,mvc-12952,mvc-11598,Mg0 –0.25NiS2,intercalation,R3m,1.06,104,383,111,408,0.07,0.12,9.967,29.416999999999998,0.11699999999999999,64.757
mvc-1200010121,mp-1040980,mp-1041088,Mg0 –0.5CuBiO4,intercalation,P21/c,3.43,77,473,263,1620,0.17,0.12,0.0,90.90700000000001,0.0,133.792
mvc-1200008651,mp-1043541,mp-1043826,Mg0 –1Si4NiO10,intercalation,P4/ncc,3.84,151,465,580,1786,0.23,0.12,0.16,222.704,0.0,125.65100000000001
mvc-1200006193,mp-1043826,mp-1041638,MgCr3(AsO4)4,intercalation,P21/c,3.41,205,787,699,2684,0.24,0.12,0.0,133.695,0.16,222.704
mvc-1200003987,mvc-3987,mp-779941,Mg0 –1CrO3,intercalation,Pbnm,2.99,431,1839,1288,5492,0.06,0.12,0.0,69.83,0.0,6.6370000000000005
mvc-1200011138,mvc-11138,mp-756655,Mg0 –0.5TiO2,intercalation,Pmnb,0.63,291,1268,182,793,0.07,0.12,0.0,48.327,0.0,0.0
mvc-1200016579,mp-1045307,mvc-13960,Mg0 –1FeF4,intercalation,Ibam,4.34,343,1336,1488,5793,0.24,0.12,0.831,55.553000000000004,0.0,37.086999999999996
mvc-1200002344,mp-1045970,mp-1045898,Mg0 –2V9O13,intercalation,C2/m,1.57,150,697,236,1096,0.22,0.12,0.026000000000000002,40.646,0.0,11.640999999999998
mvc-1200008070,mp-1042857,mp-1042864,MgTi(GeO3)2,intercalation,C2/c,1.21,171,769,206,929,0.03,0.13,2.28,67.101,0.0,25.671999999999997
mvc-1200009128,mp-1042864,mp-714929,Mg0 –0.25CrO2,intercalation,R3m,3.34,149,596,497,1990,0.19,0.13,0.0,0.0,2.28,67.101
mvc-1200005088,mvc-5088,mvc-5316,Mg0 –0.5SnO2,intercalation,Cm,1.78,165,874,292,1553,0.22,0.13,0.026000000000000002,121.476,0.001,175.60299999999998
mvc-1200010233,mp-1041140,mp-1041196,Mg0 –1Ti3P3O13,intercalation,P21/m,0.67,114,358,77,241,0.03,0.13,0.386,123.445,0.0,98.027
mvc-1200007838,mp-1042608,mvc-11034,MgTi4(CuO4)3,intercalation,Im3,2.33,90,435,209,1015,0.06,0.13,0.01,38.251999999999995,0.0,28.375999999999998
mvc-1200012027,mvc-12027,mvc-12615,Mg0 –0.5VO2,intercalation,Pnmm,2.06,282,1125,582,2321,0.16,0.13,0.004,81.426,0.0,47.84
mvc-1200009678,mvc-9678,mp-1044873,Mg0 –1Bi2P2O9,intercalation,Pmcn,3.31,83,447,273,1479,0.15,0.13,3.5389999999999997,291.518,0.0,98.021
mvc-1200009760,mp-1044937,mp-1044823,Mg0 –1Ti2P2O9,intercalation,Pmcn,1.09,164,529,180,579,0.06,0.13,0.0,164.679,0.0,98.47
mvc-1200015669,mvc-15669,mp-1048779,Mg0.5 –1BiO3,intercalation,Pbnm,2.76,95,666,263,1837,0.12,0.13,0.0,36.326,0.0,30.568
mvc-1200000811,mp-1042943,mp-1043388,Mg0 –0.5V2O3,intercalation,Cmcm,1.64,165,763,271,1252,0.25,0.13,0.0,49.641000000000005,0.0,15.556
mvc-1200014313,mvc-14313,mvc-15991,Mg0 –2Mo3O8,intercalation,C2/m,2.54,231,1107,586,2809,0.26,0.13,0.0,55.011,0.0,45.041000000000004
mvc-1200009937,mp-1048843,mp-1044829,Mg0 –1Sn2P2O9,intercalation,Pmcn,1.6,115,428,184,687,0.06,0.13,0.61,188.515,0.002,219.25099999999998
mvc-1200005121,mvc-5121,mvc-5220,Mg0 –0.5BiO2,intercalation,Cm,2.86,106,807,302,2305,0.17,0.13,5.159,215.239,3.765,172.637
mvc-1200010551,mp-1047865,mp-1047865,Mg0 –1Ni3P3O13,intercalation,P21/m,4.02,107,385,430,1545,0.18,0.13,0.0,73.87899999999999,0.0,73.87899999999999
mvc-1200002285,mp-1045937,mvc-2263,Mg0 –2Co9O13,intercalation,C2/m,3.24,136,780,442,2529,0.28,0.14,0.0,47.358000000000004,0.0,36.143
mvc-1200004648,mvc-4648,mvc-5860,Mg0 –0.5BiO2,intercalation,Cm,2.56,106,804,271,2058,0.09,0.14,0.012,156.815,1.578,218.30700000000002
mvc-1200001710,mp-1045598,mp-540258,MgTi(PO3)4,intercalation,C2/c,1.52,138,394,210,599,0.04,0.14,0.138,114.335,0.0,91.257
mvc-1200003366,mp-1046746,mp-1045679,Mg0 –2Nb2TeO8,intercalation,P1,2.48,219,1003,543,2487,0.16,0.14,0.009000000000000001,79.686,2.765,80.044
mvc-1200006602,mp-1041629,mp-1047639,Mg0 –0.5CoO2,intercalation,Pcmb,3.28,260,1342,852,4399,0.2,0.14,0.847,24.51,0.0,3.784
mvc-1200010077,mp-1040927,mvc-10214,Mg0 –0.5TaCuO4,intercalation,P21/c,3.52,84,509,294,1790,0.21,0.14,0.0,160.145,0.0,149.126
mvc-1200012846,mvc-12846,mp-714944,Mg0 –0.25VO2,intercalation,R3m,2.1,151,587,316,1231,0.14,0.14,0.0,16.448,0.0,37.939
mvc-1200010248,mp-1041145,mp-1041261,Mg0 –1Bi3P3O13,intercalation,P21/m,3.0,56,277,169,831,0.12,0.14,6.117999999999999,191.354,0.0,149.329
mvc-1200000835,mp-1043200,mp-1043418,Mg0 –0.5Co2O3,intercalation,Cmcm,3.07,151,825,462,2532,0.24,0.15,0.0,40.211,0.0,18.463
mvc-1200007852,mp-1042619,mvc-13015,MgCu3(SnO3)4,intercalation,Im3,1.94,61,383,118,743,0.06,0.15,0.015,31.674,0.0,29.750999999999998
mvc-1200003078,mp-1046557,mp-1046527,MgCr5(TeO6)3,intercalation,C2/c,2.63,209,1002,548,2634,0.13,0.15,0.893,115.59299999999999,0.902,111.671
mvc-1200009043,mp-1044052,mp-1044164,Mg0 –0.5MoPO5,intercalation,Fddd,1.93,122,497,236,959,0.07,0.15,3.74,99.749,0.6859999999999999,72.164
mvc-1200009098,mp-1044122,mp-1044162,Mg0 –0.5PWO5,intercalation,Fddd,1.33,87,489,116,652,0.07,0.15,2.461,93.109,0.892,76.94800000000001
mvc-1200005864,mvc-5864,mvc-5626,Mg0 –1MoAsO5,intercalation,P212121,2.51,195,763,489,1917,0.16,0.16,0.0,73.54,0.0,109.339
mvc-1200008440,mp-1043372,mp-1043406,MgTi(Si2O5)2,intercalation,P4/ncc,0.95,156,442,148,421,0.18,0.16,0.384,216.71,0.0,148.537
mvc-1200005032,mvc-5032,mvc-5295,Mg0 –0.5CrO2,intercalation,Cm,3.0,279,1164,837,3495,0.18,0.16,0.002,129.621,0.004,155.10399999999998
mvc-1200014232,mp-1118049,mvc-15884,Mg0 –1NiF4,intercalation,I4/mcm,5.48,337,1384,1847,7581,0.26,0.16,0.47600000000000003,47.221000000000004,0.002,27.449
mvc-1200008632,mp-1043471,mp-1043556,Mg0 –0.5SbPO5,intercalation,F2dd,1.86,109,449,204,837,0.05,0.16,0.782,79.624,1.033,94.88600000000001
mvc-1200010153,mp-1041003,mp-1040961,Mg0 –1P2W2O9,intercalation,Pmcn,1.13,90,493,101,556,0.04,0.16,0.574,204.43200000000002,0.0,137.578
mvc-1200006043,mp-1047337,mp-1047075,Mg0 –0.5MoO2,intercalation,Pmnb,2.4,191,1085,458,2600,0.45,0.16,0.198,77.961,0.0,48.093999999999994
mvc-1200015602,mvc-15602,mp-1048765,Mg0.5 –1SbO3,intercalation,P21/c,1.73,138,727,239,1256,0.14,0.16,0.0,23.285999999999998,0.0,16.793
mvc-1200010460,mp-1041401,mp-1047807,Mg0 –0.5CuWO4,intercalation,P21/c,2.48,83,490,206,1218,0.19,0.16,0.0,224.15900000000002,0.0,161.821
mvc-1200002347,mp-1045917,mp-767563,Mg0 –1P4WO12,intercalation,C2/c,1.25,102,367,128,460,0.03,0.17,1.811,136.846,1.0270000000000001,137.817
mvc-1200004871,mvc-4871,mp-25301,MgTi(SiO3)2,intercalation,C2/c,0.24,239,783,57,188,0.04,0.17,0.0,31.666999999999998,0.0,29.048000000000002
mvc-1200006370,mp-1047628,mvc-5659,Mg0 –0.5SnO2,intercalation,P21/c,1.25,165,895,205,1116,0.09,0.17,0.042,52.68600000000001,0.0,52.352
mvc-1200003898,mvc-3898,mvc-3935,MgSi3(WO6)2,intercalation,Ia3d,1.63,224,1207,365,1963,0.14,0.17,12.258,198.43400000000003,7.278,145.138
mvc-1200010249,mp-1041149,mp-1041240,Mg0 –1Sb3P3O13,intercalation,P21/m,1.78,78,289,138,514,0.09,0.17,5.502000000000001,139.75,0.0,141.472
mvc-1200010263,mp-1041181,mp-1041231,Mg0 –1Sn3P3O13,intercalation,P21/m,1.27,79,304,100,385,0.09,0.17,1.051,103.219,0.0,86.111
mvc-1200009719,mp-1044814,mp-1044867,Mg0 –0.5BiO2,intercalation,P3m1,2.66,106,795,281,2114,0.16,0.17,0.574,168.235,2.596,162.27200000000002
mvc-1200006718,mp-1041687,mp-1047621,Mg0 –0.5MoO2,intercalation,Pcmb,2.17,191,1067,415,2314,0.38,0.17,1.817,43.667,0.0,35.731
mvc-1200005073,mvc-5073,mvc-4514,Mg0 –1.5Si2WO7,intercalation,C2/c,2.34,207,950,484,2223,0.36,0.18,14.700999999999999,171.679,14.774000000000001,146.75
mvc-1200009654,mp-1044743,mp-1044751,MgPr(WO3)2,intercalation,Pc,1.12,85,697,95,780,0.11,0.18,0.15,47.68,0.0,30.639
mvc-1200004866,mvc-4866,mvc-12639,Mg0 –1FeO2,intercalation,P1,2.26,478,1816,1079,4098,0.15,0.18,0.0,24.147,0.062,47.059
mvc-1200013666,mvc-13666,mvc-15363,Mg0 –1SnO2,intercalation,P1,1.28,306,1431,391,1826,0.07,0.18,4.953,44.442,0.004,50.553000000000004
mvc-1200006430,mp-1041491,mp-1041491,MgTi(SiO3)2,intercalation,Pcab,0.2,239,803,48,160,0.05,0.18,0.0,66.834,0.0,66.834
mvc-1200011190,mvc-11190,mvc-1,Mg0 –0.5NiS2,intercalation,Fd3m,1.02,199,731,203,747,0.07,0.18,0.0,46.676,0.005,73.253
mvc-1200008669,mp-1043550,mp-1043760,Mg0 –1Si4WO10,intercalation,P4/ncc,1.8,112,427,201,770,0.21,0.18,5.067,288.95,0.0,176.238
mvc-1200002805,mp-1046203,mp-1046357,Mg0 –2Ta2WO8,intercalation,P1,1.99,148,1149,296,2293,0.28,0.18,0.0,76.119,0.0,59.165
mvc-1200006625,mp-1041705,mp-1041528,MgV3(AsO4)4,intercalation,P21/c,2.56,206,780,526,1995,0.18,0.18,0.0,124.94200000000001,11.440999999999999,177.571
mvc-1200004682,mp-1046883,mp-557993,Mg0 –0.5BiO2,intercalation,Fd3m,2.11,106,790,223,1667,0.0,0.19,0.0,27.434,0.54,97.795
mvc-1200003395,mp-1046764,mp-1046949,Mg0 –2Nb2WO8,intercalation,P1,1.73,196,1153,339,1993,0.19,0.19,0.004,81.337,0.0,55.083999999999996
mvc-1200000794,mp-1042710,mp-1043379,Mg0 –0.5Cr2O3,intercalation,Cmcm,1.77,163,773,290,1372,0.29,0.19,0.0,42.361999999999995,0.0,11.577
mvc-1200000899,mp-1043960,mp-1040952,Mg0 –1TiP2O7,intercalation,P21/c,1.22,218,693,265,843,0.14,0.19,0.003,127.273,5.614,92.926
mvc-1200002307,mp-1045889,mp-1045826,Mg0 –2Cr9O13,intercalation,C2/m,1.77,148,701,262,1241,0.28,0.19,0.0,45.287,0.0,35.004
mvc-1200009157,mp-1044208,mp-714883,Mg0 –0.25MoO2,intercalation,R3m,1.7,100,506,170,860,0.23,0.2,0.0,24.961,0.051,51.763000000000005
mvc-1200000484,mp-1046893,mp-1047467,MgBa(BiO2)4,intercalation,P31m,2.89,48,353,138,1020,0.29,0.2,8.342,110.791,0.799,78.26899999999999
mvc-1200003728,mvc-3728,mvc-12580,Mg0 –1MnO2,intercalation,P1,1.96,482,1716,945,3363,0.0,0.2,0.0,18.929000000000002,0.9209999999999999,55.123000000000005
mvc-1200003728,mvc-3728,mvc-12580,Mg0.25 –1MnO2,intercalation,P1,1.9,361,1287,687,2445,0.12,0.2,0.0,18.929000000000002,0.9209999999999999,55.123000000000005
mvc-1200570543,mp-570543,mp-117,Mg0 –2Sn,intercalation,Fd3m,-0.01,641,2461,-6,-22,0.0,0.2,1.656,13.762,0.0,145.457
mvc-1200007725,mp-1042617,mp-1042672,Mg0 –1CoBi2O7,intercalation,P21/c,3.24,87,588,283,1902,0.22,0.2,71.453,358.32300000000004,0.075,216.082
mvc-1200008339,mp-1043159,mp-1043300,Mg0 –1Cr2O5,intercalation,Cmcm,3.16,257,852,812,2689,0.24,0.21,1.433,87.825,0.006,62.071000000000005
mvc-1200007718,mp-1042566,mp-1042609,Mg0 –1CoSb2O7,intercalation,P21/c,3.66,122,593,447,2170,0.33,0.21,10.077,283.29200000000003,0.292,217.512
mvc-1200005754,mvc-5754,mvc-5760,Mg0 –0.5BiO2,intercalation,Pmnb,2.31,106,854,244,1970,0.08,0.21,2.3890000000000002,105.83,0.0,40.124
mvc-1200009831,mp-1044887,mp-1044869,Mg0 –0.5SbO2,intercalation,P1,1.89,162,796,305,1505,0.17,0.21,2.839,185.449,2.717,157.636
mvc-1200000483,mp-1046916,mp-1047421,Mg0 –1BaTi4O8,intercalation,P31m,0.49,111,470,54,229,0.22,0.21,2.1959999999999997,89.19200000000001,0.0,35.305
mvc-1200012619,mvc-12565,mp-1116784,Mg0 –1CoO2,intercalation,P1,2.28,465,1860,1060,4239,0.0,0.21,1.2830000000000001,16.205,0.0,20.096
mvc-1200012953,mvc-12953,mvc-11234,Mg0 –0.25FeS2,intercalation,R3m,1.03,106,393,109,404,0.2,0.21,6.62,23.726,0.017,64.777
mvc-1200002863,mp-1046266,mvc-12565,Mg0.25 –1CoO2,intercalation,P1,2.22,349,1382,776,3074,0.11,0.21,0.0,20.096,0.033,38.361
mvc-1200007881,mp-1042667,mp-1042691,MgCu3(SbO3)4,intercalation,Im3,0.81,60,372,49,301,0.03,0.22,0.009000000000000001,39.303000000000004,0.003,40.998999999999995
mvc-1200006176,mvc-6176,mvc-6377,Mg0 –0.5MoO2,intercalation,Cm,1.78,191,991,341,1767,0.31,0.22,0.16699999999999998,226.68099999999998,0.5660000000000001,215.472
mvc-1200014378,mvc-14378,mp-1047285,Mg0 –0.5FeO2,intercalation,Pm21b,3.26,268,1288,873,4197,0.29,0.22,0.0,47.841,0.0,13.158
mvc-1200002354,mp-1045938,mvc-12425,Mg0.5 –1TiO2,intercalation,P1,0.16,257,948,40,148,0.14,0.22,0.0,42.108999999999995,0.0,17.814
mvc-1200010086,mp-1040928,mp-1041001,Mg0 –0.5CuSbO4,intercalation,P21/c,3.67,103,506,377,1859,0.26,0.22,0.0,117.645,0.0,114.516
mvc-1200006912,mp-1041889,mp-1041993,Mg0 –0.5MoO2,intercalation,Imma,1.72,191,1003,330,1730,0.29,0.22,0.032,62.71,0.0,34.262
mvc-1200007980,mp-1042810,mp-1042978,Mg0 –2W3O8,intercalation,P63mc,2.14,147,1125,315,2408,0.37,0.22,0.159,110.884,0.001,64.22399999999999
mvc-1200000287,mp-1046283,mp-1042297,Mg0.5 –1CuO2,intercalation,P1,2.65,224,951,593,2520,0.22,0.22,0.03,24.392,0.002,44.033
